iteration,params,startmove,response,score
0,30,-1.0,-1.0,1.1289381838362371
0,30,-0.988,-1.0,1.1286987240180542
0,30,-0.951,-1.0,1.1288270760746295
0,30,-0.891,-1.0,1.1301736157247042
0,30,-0.809,-1.0,1.1306986586063277
0,30,-0.707,-1.0,1.1305032926448262
0,30,-0.588,-1.0,1.131205959461442
0,30,-0.454,-1.0,1.1303939259286375
0,30,-0.309,-1.0,1.1319186134644794
0,30,-0.156,-1.0,1.1297805350710712
0,30,0.0,-1.0,1.1298494258093397
0,30,0.156,-1.0,1.1311693631401947
0,30,0.309,-1.0,1.1220458732826715
0,30,0.454,-1.0,1.1233602869016557
0,30,0.588,-1.0,1.0987486050718152
0,30,0.707,-1.0,1.0995581159850385
0,30,0.809,-1.0,1.1042812161374425
0,30,0.891,-1.0,1.1050137481376374
0,30,0.951,-1.0,1.1058720175740009
0,30,0.988,-1.0,1.105993357265514
0,30,1.0,-1.0,1.1056521443265392
0,30,-1.0,-0.988,1.1305648635047887
0,30,-0.988,-0.988,1.130923049460564
0,30,-0.951,-0.988,1.1307255718582652
0,30,-0.891,-0.988,1.1309951502754227
0,30,-0.809,-0.988,1.1320273933575478
0,30,-0.707,-0.988,1.131650475332868
0,30,-0.588,-0.988,1.1329381385001294
0,30,-0.454,-0.988,1.1315337154092806
0,30,-0.309,-0.988,1.1335092838012704
0,30,-0.156,-0.988,1.1310437933091968
0,30,0.0,-0.988,1.1312317588090002
0,30,0.156,-0.988,1.1320842995062899
0,30,0.309,-0.988,1.123306930027156
0,30,0.454,-0.988,1.1250583992106078
0,30,0.588,-0.988,1.1002181346163766
0,30,0.707,-0.988,1.1016324828336057
0,30,0.809,-0.988,1.106041848281988
0,30,0.891,-0.988,1.1066092353261954
0,30,0.951,-0.988,1.1071886241868938
0,30,0.988,-0.988,1.1075936301964053
0,30,1.0,-0.988,1.1078987830646454
0,30,-1.0,-0.951,1.1321672805622558
0,30,-0.988,-0.951,1.1318090225986033
0,30,-0.951,-0.951,1.1322572165226976
0,30,-0.891,-0.951,1.1332015708589838
0,30,-0.809,-0.951,1.1340665425994942
0,30,-0.707,-0.951,1.1327285269097178
0,30,-0.588,-0.951,1.1338068753826243
0,30,-0.454,-0.951,1.1325312074577876
0,30,-0.309,-0.951,1.1341387527699067
0,30,-0.156,-0.951,1.1320958624543613
0,30,0.0,-0.951,1.1324971536818742
0,30,0.156,-0.951,1.1338446693518571
0,30,0.309,-0.951,1.1248283930766663
0,30,0.454,-0.951,1.1257099070395815
0,30,0.588,-0.951,1.1031856371021704
0,30,0.707,-0.951,1.1046407788549168
0,30,0.809,-0.951,1.107461762126008
0,30,0.891,-0.951,1.108857268705246
0,30,0.951,-0.951,1.1083617235108028
0,30,0.988,-0.951,1.109574160024785
0,30,1.0,-0.951,1.1092571321486029
0,30,-1.0,-0.891,1.1324954048487557
0,30,-0.988,-0.891,1.1328151135709452
0,30,-0.951,-0.891,1.1335820958503842
0,30,-0.891,-0.891,1.1336261805554686
0,30,-0.809,-0.891,1.133865465626606
0,30,-0.707,-0.891,1.1332842713244353
0,30,-0.588,-0.891,1.134225230154413
0,30,-0.454,-0.891,1.1330649153670904
0,30,-0.309,-0.891,1.134329488833966
0,30,-0.156,-0.891,1.1332318943973139
0,30,0.0,-0.891,1.1332394878294192
0,30,0.156,-0.891,1.1349764353913365
0,30,0.309,-0.891,1.125672043328069
0,30,0.454,-0.891,1.12689466440674
0,30,0.588,-0.891,1.1065592526365804
0,30,0.707,-0.891,1.1075486772369993
0,30,0.809,-0.891,1.1096254560914498
0,30,0.891,-0.891,1.1100014972803613
0,30,0.951,-0.891,1.110335420927401
0,30,0.988,-0.891,1.1118321513315663
0,30,1.0,-0.891,1.1115435992380316
0,30,-1.0,-0.809,1.1332364252975204
0,30,-0.988,-0.809,1.133918782788368
0,30,-0.951,-0.809,1.1330489078127235
0,30,-0.891,-0.809,1.1339960651804355
0,30,-0.809,-0.809,1.1347943176825646
0,30,-0.707,-0.809,1.1327925449010694
0,30,-0.588,-0.809,1.134127352482479
0,30,-0.454,-0.809,1.1330680967007796
0,30,-0.309,-0.809,1.1344700612060061
0,30,-0.156,-0.809,1.1335595578635986
0,30,0.0,-0.809,1.1329941613409935
0,30,0.156,-0.809,1.1344499401761647
0,30,0.309,-0.809,1.127324135671282
0,30,0.454,-0.809,1.1290544431936413
0,30,0.588,-0.809,1.1101670719753534
0,30,0.707,-0.809,1.111547184939873
0,30,0.809,-0.809,1.1111371041279217
0,30,0.891,-0.809,1.1128529625423682
0,30,0.951,-0.809,1.1133266320646673
0,30,0.988,-0.809,1.1132640885712908
0,30,1.0,-0.809,1.1133883989844047
0,30,-1.0,-0.707,1.132653321982262
0,30,-0.988,-0.707,1.132675093609717
0,30,-0.951,-0.707,1.1328850737171405
0,30,-0.891,-0.707,1.13399692236332
0,30,-0.809,-0.707,1.13420647986029
0,30,-0.707,-0.707,1.1319873095770918
0,30,-0.588,-0.707,1.1336606607500326
0,30,-0.454,-0.707,1.1333681048713506
0,30,-0.309,-0.707,1.1341612691738976
0,30,-0.156,-0.707,1.1333778767929785
0,30,0.0,-0.707,1.133546546683353
0,30,0.156,-0.707,1.1356152923624299
0,30,0.309,-0.707,1.1295578742786505
0,30,0.454,-0.707,1.130096866266256
0,30,0.588,-0.707,1.1143216047661828
0,30,0.707,-0.707,1.1148454869174182
0,30,0.809,-0.707,1.1140105753187084
0,30,0.891,-0.707,1.1147941939685106
0,30,0.951,-0.707,1.1152546705148858
0,30,0.988,-0.707,1.1157241501338553
0,30,1.0,-0.707,1.1166494582991922
0,30,-1.0,-0.588,1.131801769920581
0,30,-0.988,-0.588,1.1318382182059028
0,30,-0.951,-0.588,1.1318366047009005
0,30,-0.891,-0.588,1.1325570583159505
0,30,-0.809,-0.588,1.132571030873132
0,30,-0.707,-0.588,1.1314140619600117
0,30,-0.588,-0.588,1.132220417649102
0,30,-0.454,-0.588,1.1334350831209152
0,30,-0.309,-0.588,1.1349672300356306
0,30,-0.156,-0.588,1.1333740036144597
0,30,0.0,-0.588,1.1342474902207247
0,30,0.156,-0.588,1.1348746005419081
0,30,0.309,-0.588,1.1291817340379509
0,30,0.454,-0.588,1.1309961906524792
0,30,0.588,-0.588,1.1175546530296523
0,30,0.707,-0.588,1.118772551041929
0,30,0.809,-0.588,1.1169475401951632
0,30,0.891,-0.588,1.1176873858364824
0,30,0.951,-0.588,1.1187572587604033
0,30,0.988,-0.588,1.119008086796332
0,30,1.0,-0.588,1.1197795968573394
0,30,-1.0,-0.454,1.1288732995684314
0,30,-0.988,-0.454,1.129048561719625
0,30,-0.951,-0.454,1.1299930272863756
0,30,-0.891,-0.454,1.1308880973899504
0,30,-0.809,-0.454,1.1314057765288381
0,30,-0.707,-0.454,1.1304360841352503
0,30,-0.588,-0.454,1.1314994829222829
0,30,-0.454,-0.454,1.132175027903391
0,30,-0.309,-0.454,1.1335452155613306
0,30,-0.156,-0.454,1.13293485609903
0,30,0.0,-0.454,1.1333053168872276
0,30,0.156,-0.454,1.1349084050474771
0,30,0.309,-0.454,1.1305504778318274
0,30,0.454,-0.454,1.1318710408599353
0,30,0.588,-0.454,1.120390918406456
0,30,0.707,-0.454,1.1217483994292916
0,30,0.809,-0.454,1.119499419972285
0,30,0.891,-0.454,1.121285487734539
0,30,0.951,-0.454,1.1210411366188895
0,30,0.988,-0.454,1.1218703417984492
0,30,1.0,-0.454,1.1218856348920647
0,30,-1.0,-0.309,1.1268071798817711
0,30,-0.988,-0.309,1.1273461751096279
0,30,-0.951,-0.309,1.1277475370986991
0,30,-0.891,-0.309,1.1280807820613374
0,30,-0.809,-0.309,1.128557705650792
0,30,-0.707,-0.309,1.1291792847180813
0,30,-0.588,-0.309,1.130420966204324
0,30,-0.454,-0.309,1.131086981492285
0,30,-0.309,-0.309,1.1333056602226603
0,30,-0.156,-0.309,1.1314294063113273
0,30,0.0,-0.309,1.133866243523282
0,30,0.156,-0.309,1.1347345192039655
0,30,0.309,-0.309,1.1308970900379054
0,30,0.454,-0.309,1.132330287927246
0,30,0.588,-0.309,1.122626991955618
0,30,0.707,-0.309,1.1235128367636975
0,30,0.809,-0.309,1.121950252695293
0,30,0.891,-0.309,1.1229321316443002
0,30,0.951,-0.309,1.1236826255705272
0,30,0.988,-0.309,1.1232975820836695
0,30,1.0,-0.309,1.1241759195874066
0,30,-1.0,-0.156,1.1255427751665072
0,30,-0.988,-0.156,1.1255561511207253
0,30,-0.951,-0.156,1.1259147979737156
0,30,-0.891,-0.156,1.1265891026088952
0,30,-0.809,-0.156,1.1275147005794137
0,30,-0.707,-0.156,1.128289233438683
0,30,-0.588,-0.156,1.1292018678774876
0,30,-0.454,-0.156,1.1297465732914274
0,30,-0.309,-0.156,1.1312322330677818
0,30,-0.156,-0.156,1.1301064730330288
0,30,0.0,-0.156,1.1328883584823237
0,30,0.156,-0.156,1.1340487443292186
0,30,0.309,-0.156,1.1312920788242273
0,30,0.454,-0.156,1.1326177361452818
0,30,0.588,-0.156,1.1241221762359204
0,30,0.707,-0.156,1.1255039791274222
0,30,0.809,-0.156,1.1236678265059057
0,30,0.891,-0.156,1.1250392128559368
0,30,0.951,-0.156,1.1260966722324859
0,30,0.988,-0.156,1.126633036308892
0,30,1.0,-0.156,1.1253130438283252
0,30,-1.0,0.0,1.123676189705591
0,30,-0.988,0.0,1.1241183779555386
0,30,-0.951,0.0,1.1245991378928564
0,30,-0.891,0.0,1.1252326038569236
0,30,-0.809,0.0,1.1256108203091724
0,30,-0.707,0.0,1.1263379356997882
0,30,-0.588,0.0,1.128141295476893
0,30,-0.454,0.0,1.1275365597121523
0,30,-0.309,0.0,1.1286623921804202
0,30,-0.156,0.0,1.1286662914868297
0,30,0.0,0.0,1.1318703220653743
0,30,0.156,0.0,1.1336480453540543
0,30,0.309,0.0,1.1307888550720826
0,30,0.454,0.0,1.1325829264795413
0,30,0.588,0.0,1.1253438218311302
0,30,0.707,0.0,1.1272960650635937
0,30,0.809,0.0,1.1259581489675898
0,30,0.891,0.0,1.126825584173029
0,30,0.951,0.0,1.126687593515939
0,30,0.988,0.0,1.1277668096106361
0,30,1.0,0.0,1.127610088359697
0,30,-1.0,0.156,1.1224858374710343
0,30,-0.988,0.156,1.1229482436971074
0,30,-0.951,0.156,1.1229851615366888
0,30,-0.891,0.156,1.1239882413288684
0,30,-0.809,0.156,1.1246222280222549
0,30,-0.707,0.156,1.1247171912152616
0,30,-0.588,0.156,1.1263522250438613
0,30,-0.454,0.156,1.1255936983416917
0,30,-0.309,0.156,1.1267650572380086
0,30,-0.156,0.156,1.1273313873510464
0,30,0.0,0.156,1.1312154817236573
0,30,0.156,0.156,1.1326180689653824
0,30,0.309,0.156,1.1308123913779715
0,30,0.454,0.156,1.1331292911300284
0,30,0.588,0.156,1.1269830793383138
0,30,0.707,0.156,1.127901051152909
0,30,0.809,0.156,1.127114538585208
0,30,0.891,0.156,1.1278971963678235
0,30,0.951,0.156,1.1286514905080816
0,30,0.988,0.156,1.1293205756225404
0,30,1.0,0.156,1.1298204212957357
0,30,-1.0,0.309,1.121138254226099
0,30,-0.988,0.309,1.1214096054685667
0,30,-0.951,0.309,1.1216859392714824
0,30,-0.891,0.309,1.1217906446340116
0,30,-0.809,0.309,1.1227714519174805
0,30,-0.707,0.309,1.1225243380147227
0,30,-0.588,0.309,1.1243425512735956
0,30,-0.454,0.309,1.1240152534791479
0,30,-0.309,0.309,1.1250162041861942
0,30,-0.156,0.309,1.1251839756721236
0,30,0.0,0.309,1.1298682681955168
0,30,0.156,0.309,1.1312908583161572
0,30,0.309,0.309,1.13106877524853
0,30,0.454,0.309,1.132317034578833
0,30,0.588,0.309,1.1279835815731498
0,30,0.707,0.309,1.1284206433681239
0,30,0.809,0.309,1.1280158959171669
0,30,0.891,0.309,1.128754051832331
0,30,0.951,0.309,1.1287348237835992
0,30,0.988,0.309,1.1303182647022778
0,30,1.0,0.309,1.1302331551093538
0,30,-1.0,0.454,1.1198948772129595
0,30,-0.988,0.454,1.1200298678615332
0,30,-0.951,0.454,1.1194115688640818
0,30,-0.891,0.454,1.1208403382007497
0,30,-0.809,0.454,1.121162301440971
