iteration,startmove,response,score
0,-1.0,-1.0,1.2505909164315803
0,-0.988,-1.0,1.2528389213221454
0,-0.951,-1.0,1.2519873633725558
0,-0.891,-1.0,1.2509582968676778
0,-0.809,-1.0,1.2516596046382709
0,-0.707,-1.0,1.2564880243896026
0,-0.588,-1.0,1.2591760133838419
0,-0.454,-1.0,1.2556173991074115
0,-0.309,-1.0,1.2570611921713635
0,-0.156,-1.0,1.2506397968954135
0,0.0,-1.0,1.2427142313708246
0,0.156,-1.0,1.2390019123655587
0,0.309,-1.0,1.2283460877592518
0,0.454,-1.0,1.234474543975462
0,0.588,-1.0,1.2135988453939155
0,0.707,-1.0,1.2173629692159058
0,0.809,-1.0,1.2187074707890555
0,0.891,-1.0,1.2200857654289021
0,0.951,-1.0,1.221380021982947
0,0.988,-1.0,1.2233653605520236
0,1.0,-1.0,1.22135972634676
0,-1.0,-0.988,1.2548011255954312
0,-0.988,-0.988,1.254198559024504
0,-0.951,-0.988,1.2539962457531362
0,-0.891,-0.988,1.2548922313452675
0,-0.809,-0.988,1.2545699591141086
0,-0.707,-0.988,1.2594360705400496
0,-0.588,-0.988,1.2590673134257295
0,-0.454,-0.988,1.2590182098746001
0,-0.309,-0.988,1.2572999167448353
0,-0.156,-0.988,1.2510963038626275
0,0.0,-0.988,1.244500584508256
0,0.156,-0.988,1.2435296573843133
0,0.309,-0.988,1.2322285607096652
0,0.454,-0.988,1.2326753588600643
0,0.588,-0.988,1.2174480027322396
0,0.707,-0.988,1.2194604096146144
0,0.809,-0.988,1.2223839738486855
0,0.891,-0.988,1.2200621673408185
0,0.951,-0.988,1.2209681100413516
0,0.988,-0.988,1.2246952354836094
0,1.0,-0.988,1.2240307560904244
0,-1.0,-0.951,1.2538831897588065
0,-0.988,-0.951,1.256604449495291
0,-0.951,-0.951,1.2535093416849885
0,-0.891,-0.951,1.2545796116149674
0,-0.809,-0.951,1.2574282360021174
0,-0.707,-0.951,1.2587986504445277
0,-0.588,-0.951,1.261348430539574
0,-0.454,-0.951,1.2585007634326104
0,-0.309,-0.951,1.2574374650326936
0,-0.156,-0.951,1.252266071905438
0,0.0,-0.951,1.24372854001267
0,0.156,-0.951,1.245284815511025
0,0.309,-0.951,1.2327374008846674
0,0.454,-0.951,1.2328949050505855
0,0.588,-0.951,1.220783309818205
0,0.707,-0.951,1.2230945532172313
0,0.809,-0.951,1.223867266931625
0,0.891,-0.951,1.2226850224627417
0,0.951,-0.951,1.222687069667986
0,0.988,-0.951,1.2247620005095872
0,1.0,-0.951,1.2268656138942606
0,-1.0,-0.891,1.2541258585430426
0,-0.988,-0.891,1.2539776739030004
0,-0.951,-0.891,1.2542214987905407
0,-0.891,-0.891,1.2543105835301718
0,-0.809,-0.891,1.2562275142548496
0,-0.707,-0.891,1.2595137791764945
0,-0.588,-0.891,1.2585102416106642
0,-0.454,-0.891,1.2582607634645897
0,-0.309,-0.891,1.2583009219150763
0,-0.156,-0.891,1.2543236255161392
0,0.0,-0.891,1.2435852947949386
0,0.156,-0.891,1.245351705628552
0,0.309,-0.891,1.2352309249874986
0,0.454,-0.891,1.2372365944527572
0,0.588,-0.891,1.2263158079979697
0,0.707,-0.891,1.223466310797845
0,0.809,-0.891,1.2282528597152829
0,0.891,-0.891,1.2263292731188047
0,0.951,-0.891,1.2261633891323285
0,0.988,-0.891,1.227833200732145
0,1.0,-0.891,1.2270647888595971
0,-1.0,-0.809,1.2570041354761758
0,-0.988,-0.809,1.2547543991204937
0,-0.951,-0.809,1.2558168419446785
0,-0.891,-0.809,1.2565438797243438
0,-0.809,-0.809,1.2556225463749922
0,-0.707,-0.809,1.2597634940207976
0,-0.588,-0.809,1.260277418997229
0,-0.454,-0.809,1.2596209182335607
0,-0.309,-0.809,1.2605315050205639
0,-0.156,-0.809,1.2535066326343831
0,0.0,-0.809,1.2458480022073646
0,0.156,-0.809,1.2484830497207642
0,0.309,-0.809,1.2384935552286913
0,0.454,-0.809,1.2386105733951114
0,0.588,-0.809,1.2302806548102616
0,0.707,-0.809,1.2259178892910996
0,0.809,-0.809,1.229789554977031
0,0.891,-0.809,1.2289242450189968
0,0.951,-0.809,1.2296223449966985
0,0.988,-0.809,1.22549684803705
0,1.0,-0.809,1.2302631304517835
0,-1.0,-0.707,1.2544387118267362
0,-0.988,-0.707,1.2533120370675324
0,-0.951,-0.707,1.2555652820184644
0,-0.891,-0.707,1.2532041049188414
0,-0.809,-0.707,1.255389302669205
0,-0.707,-0.707,1.2579270758851429
0,-0.588,-0.707,1.2600229771549638
0,-0.454,-0.707,1.2564825664285757
0,-0.309,-0.707,1.2574676403361695
0,-0.156,-0.707,1.253054838960437
0,0.0,-0.707,1.2462311655103198
0,0.156,-0.707,1.2473576997281746
0,0.309,-0.707,1.2390926537399851
0,0.454,-0.707,1.2411481012442915
0,0.588,-0.707,1.2310786979605766
0,0.707,-0.707,1.231321683117853
0,0.809,-0.707,1.2297489787402711
0,0.891,-0.707,1.2307816731435364
0,0.951,-0.707,1.2332072467163018
