iteration,startmove,response,score
0,-1.0,-1.0,1.25061329588
0,-0.988,-1.0,1.25037824022
0,-0.951,-1.0,1.24957852757
0,-0.891,-1.0,1.25046201704
0,-0.809,-1.0,1.25269493441
0,-0.707,-1.0,1.25861903202
0,-0.588,-1.0,1.25657355779
0,-0.454,-1.0,1.25535042218
0,-0.309,-1.0,1.25898006006
0,-0.156,-1.0,1.25159977096
0,0.0,-1.0,1.24028456424
0,0.156,-1.0,1.24246271589
0,0.309,-1.0,1.22850123394
0,0.454,-1.0,1.23115233621
0,0.588,-1.0,1.21458530633
0,0.707,-1.0,1.21722746846
0,0.809,-1.0,1.21901810935
0,0.891,-1.0,1.22037344371
0,0.951,-1.0,1.2207212927
0,0.988,-1.0,1.22020367085
0,1.0,-1.0,1.22164754151
0,-1.0,-0.988,1.25341098454
0,-0.988,-0.988,1.25369407061
0,-0.951,-0.988,1.25110255993
0,-0.891,-0.988,1.25357292479
0,-0.809,-0.988,1.25405369897
0,-0.707,-0.988,1.25823816567
0,-0.588,-0.988,1.25928008488
0,-0.454,-0.988,1.25610123532
0,-0.309,-0.988,1.25852061472
0,-0.156,-0.988,1.25165275988
0,0.0,-0.988,1.24430259139
0,0.156,-0.988,1.24205086967
0,0.309,-0.988,1.23030591723
0,0.454,-0.988,1.23132742118
0,0.588,-0.988,1.21725130808
0,0.707,-0.988,1.21795395296
0,0.809,-0.988,1.21954533564
0,0.891,-0.988,1.22110508912
0,0.951,-0.988,1.22039587199
0,0.988,-0.988,1.22363802105
0,1.0,-0.988,1.2229511465
0,-1.0,-0.951,1.254027257
0,-0.988,-0.951,1.25449688318
0,-0.951,-0.951,1.25410950587
0,-0.891,-0.951,1.25113753849
0,-0.809,-0.951,1.25658315754
0,-0.707,-0.951,1.25726274297
0,-0.588,-0.951,1.25887261505
0,-0.454,-0.951,1.26072638467
0,-0.309,-0.951,1.25876898808
0,-0.156,-0.951,1.24848780096
0,0.0,-0.951,1.24438656108
0,0.156,-0.951,1.24265075736
0,0.309,-0.951,1.23222747148
0,0.454,-0.951,1.23026454356
0,0.588,-0.951,1.21840384817
0,0.707,-0.951,1.21921485395
0,0.809,-0.951,1.22151704563
0,0.891,-0.951,1.22591227285
0,0.951,-0.951,1.22445976508
0,0.988,-0.951,1.22441468774
0,1.0,-0.951,1.22583513387
0,-1.0,-0.891,1.25382697671
0,-0.988,-0.891,1.25529059355
0,-0.951,-0.891,1.25617218363
0,-0.891,-0.891,1.25849150098
0,-0.809,-0.891,1.25602293687
0,-0.707,-0.891,1.26142820496
0,-0.588,-0.891,1.26034060615
0,-0.454,-0.891,1.25854107124
0,-0.309,-0.891,1.25973885656
0,-0.156,-0.891,1.25296606638
0,0.0,-0.891,1.24597929187
0,0.156,-0.891,1.24625082943
0,0.309,-0.891,1.2347740655
0,0.454,-0.891,1.23431598422
0,0.588,-0.891,1.22729007938
0,0.707,-0.891,1.22196728095
0,0.809,-0.891,1.2239336268
0,0.891,-0.891,1.2289442557
0,0.951,-0.891,1.22693219737
0,0.988,-0.891,1.22950945505
0,1.0,-0.891,1.22833077349
0,-1.0,-0.809,1.25692758566
0,-0.988,-0.809,1.25433520771
0,-0.951,-0.809,1.25481007394
0,-0.891,-0.809,1.25584080154
0,-0.809,-0.809,1.25726982412
0,-0.707,-0.809,1.25752093855
0,-0.588,-0.809,1.25731934539
0,-0.454,-0.809,1.25854771325
0,-0.309,-0.809,1.26263996405
0,-0.156,-0.809,1.25230490909
0,0.0,-0.809,1.2468916511
0,0.156,-0.809,1.24850419539
0,0.309,-0.809,1.23452556293
0,0.454,-0.809,1.2402358899
0,0.588,-0.809,1.22475961014
0,0.707,-0.809,1.23019939153
0,0.809,-0.809,1.22987503951
0,0.891,-0.809,1.22678882928
0,0.951,-0.809,1.23023020192
0,0.988,-0.809,1.23160254819
0,1.0,-0.809,1.22872276871
0,-1.0,-0.707,1.25493778714
0,-0.988,-0.707,1.25453020343
0,-0.951,-0.707,1.25392574838
0,-0.891,-0.707,1.25601222949
0,-0.809,-0.707,1.25725291021
0,-0.707,-0.707,1.25909890495
0,-0.588,-0.707,1.25663391192
0,-0.454,-0.707,1.25621445827
0,-0.309,-0.707,1.25784434227
0,-0.156,-0.707,1.25287445997
0,0.0,-0.707,1.24592904813
0,0.156,-0.707,1.24712483092
0,0.309,-0.707,1.23918544273
0,0.454,-0.707,1.24194722107
0,0.588,-0.707,1.2288736941
0,0.707,-0.707,1.23355256168
0,0.809,-0.707,1.23320890489
0,0.891,-0.707,1.2302786471
0,0.951,-0.707,1.23250968122
0,0.988,-0.707,1.23299238925
0,1.0,-0.707,1.23513014931
0,-1.0,-0.588,1.25290090745
0,-0.988,-0.588,1.25317052829
0,-0.951,-0.588,1.25325464361
0,-0.891,-0.588,1.25457534527
0,-0.809,-0.588,1.25450473657
0,-0.707,-0.588,1.25727765313
0,-0.588,-0.588,1.25679008567
0,-0.454,-0.588,1.25497283181
0,-0.309,-0.588,1.25676854332
0,-0.156,-0.588,1.25270323274
0,0.0,-0.588,1.24552528751
0,0.156,-0.588,1.24717843008
0,0.309,-0.588,1.23974973794
0,0.454,-0.588,1.23977308141
0,0.588,-0.588,1.23309852545
0,0.707,-0.588,1.23469333543
0,0.809,-0.588,1.23509873686
0,0.891,-0.588,1.23336817902
0,0.951,-0.588,1.23408295796
0,0.988,-0.588,1.23462240221
0,1.0,-0.588,1.23405639362
0,-1.0,-0.454,1.25122228106
0,-0.988,-0.454,1.25001309042
0,-0.951,-0.454,1.25195257417
0,-0.891,-0.454,1.25499962292
0,-0.809,-0.454,1.25262610909
0,-0.707,-0.454,1.25429309785
0,-0.588,-0.454,1.25519813328
0,-0.454,-0.454,1.25297849813
0,-0.309,-0.454,1.25528673642
0,-0.156,-0.454,1.2527994087
0,0.0,-0.454,1.24444214994
0,0.156,-0.454,1.24869672621
0,0.309,-0.454,1.24348403917
0,0.454,-0.454,1.24352861911
0,0.588,-0.454,1.23737106534
0,0.707,-0.454,1.23727679698
0,0.809,-0.454,1.2356296524
0,0.891,-0.454,1.23654163135
0,0.951,-0.454,1.23985313266
0,0.988,-0.454,1.23721336442
0,1.0,-0.454,1.23695390544
0,-1.0,-0.309,1.25191740132
0,-0.988,-0.309,1.25110247626
0,-0.951,-0.309,1.25038270168
0,-0.891,-0.309,1.25067586451
0,-0.809,-0.309,1.25300557605
0,-0.707,-0.309,1.25496513533
0,-0.588,-0.309,1.25507998852
0,-0.454,-0.309,1.25271960973
0,-0.309,-0.309,1.25273585398
0,-0.156,-0.309,1.25251793997
0,0.0,-0.309,1.24784738316
0,0.156,-0.309,1.24883254397
0,0.309,-0.309,1.24383055571
0,0.454,-0.309,1.24294241976
0,0.588,-0.309,1.24150930922
0,0.707,-0.309,1.23762490024
0,0.809,-0.309,1.2403509814
0,0.891,-0.309,1.23816976445
0,0.951,-0.309,1.23912307546
0,0.988,-0.309,1.23806042618
0,1.0,-0.309,1.23752978739
0,-1.0,-0.156,1.2478153935
0,-0.988,-0.156,1.24778138463
0,-0.951,-0.156,1.25133072448
0,-0.891,-0.156,1.24896963344
0,-0.809,-0.156,1.25128898175
0,-0.707,-0.156,1.25043190074
0,-0.588,-0.156,1.25086785144
0,-0.454,-0.156,1.25001417817
0,-0.309,-0.156,1.25061285924
0,-0.156,-0.156,1.24781319732
0,0.0,-0.156,1.24769590999
0,0.156,-0.156,1.24974864119
0,0.309,-0.156,1.24238722592
0,0.454,-0.156,1.24356129485
0,0.588,-0.156,1.23914044702
0,0.707,-0.156,1.24058802094
0,0.809,-0.156,1.24029734081
0,0.891,-0.156,1.23996345489
0,0.951,-0.156,1.24249744126
0,0.988,-0.156,1.24008796897
0,1.0,-0.156,1.24472311821
0,-1.0,0.0,1.24729623033
0,-0.988,0.0,1.24733183899
0,-0.951,0.0,1.24584992232
0,-0.891,0.0,1.24478985129
0,-0.809,0.0,1.24903137651
0,-0.707,0.0,1.24460048564
0,-0.588,0.0,1.2482684647
0,-0.454,0.0,1.24832507848
0,-0.309,0.0,1.25033880661
0,-0.156,0.0,1.2492256911
0,0.0,0.0,1.24746535079
0,0.156,0.0,1.24845405814
0,0.309,0.0,1.24241482933
0,0.454,0.0,1.24465302964
0,0.588,0.0,1.24236288592
0,0.707,0.0,1.24161468645
0,0.809,0.0,1.24310038459
0,0.891,0.0,1.24421054652
0,0.951,0.0,1.2441378068
0,0.988,0.0,1.24672833499
0,1.0,0.0,1.24312666083
0,-1.0,0.156,1.24422819059
0,-0.988,0.156,1.24324824861
0,-0.951,0.156,1.24327278302
0,-0.891,0.156,1.24307581866
0,-0.809,0.156,1.24754693022
0,-0.707,0.156,1.24470022356
0,-0.588,0.156,1.24350468877
0,-0.454,0.156,1.24527063988
0,-0.309,0.156,1.24435735783
0,-0.156,0.156,1.24340563823
0,0.0,0.156,1.24689075003
0,0.156,0.156,1.24828444944
0,0.309,0.156,1.24441044299
0,0.454,0.156,1.24545084491
0,0.588,0.156,1.24022966315
0,0.707,0.156,1.24687063094
0,0.809,0.156,1.24704689636
0,0.891,0.156,1.24502557691
0,0.951,0.156,1.24489591175
0,0.988,0.156,1.24543921246
0,1.0,0.156,1.2443540594
0,-1.0,0.309,1.24142709512
0,-0.988,0.309,1.24330414802
0,-0.951,0.309,1.24537203658
0,-0.891,0.309,1.23974823593
0,-0.809,0.309,1.24404676931
0,-0.707,0.309,1.24224570514
0,-0.588,0.309,1.24250577775
0,-0.454,0.309,1.24041636347
0,-0.309,0.309,1.24184931713
0,-0.156,0.309,1.24431659214
0,0.0,0.309,1.24216942701
0,0.156,0.309,1.24907135214
0,0.309,0.309,1.24625759864
0,0.454,0.309,1.24502065729
0,0.588,0.309,1.2454247316
0,0.707,0.309,1.2444867009
0,0.809,0.309,1.24472045359
0,0.891,0.309,1.24403750238
0,0.951,0.309,1.24574715544
0,0.988,0.309,1.24704787503
0,1.0,0.309,1.24670120607
0,-1.0,0.454,1.23571187631
0,-0.988,0.454,1.23924394695
0,-0.951,0.454,1.2415945686
0,-0.891,0.454,1.23897849254
0,-0.809,0.454,1.24180850642
0,-0.707,0.454,1.2395335826
0,-0.588,0.454,1.24210254469
0,-0.454,0.454,1.23934652242
0,-0.309,0.454,1.24104367513
0,-0.156,0.454,1.24199875855
0,0.0,0.454,1.24307673133
0,0.156,0.454,1.24315919761
0,0.309,0.454,1.24734748885
0,0.454,0.454,1.24682137641
0,0.588,0.454,1.24417202531
0,0.707,0.454,1.24467976018
0,0.809,0.454,1.24606828973
0,0.891,0.454,1.24749582016
0,0.951,0.454,1.24757297052
0,0.988,0.454,1.24629076148
0,1.0,0.454,1.24685295483
0,-1.0,0.588,1.23506259593
0,-0.988,0.588,1.23713049773
0,-0.951,0.588,1.23727517423
0,-0.891,0.588,1.23841716702
0,-0.809,0.588,1.23961181752
0,-0.707,0.588,1.23851311544
0,-0.588,0.588,1.23665872791
0,-0.454,0.588,1.23686938853
0,-0.309,0.588,1.23790606273
0,-0.156,0.588,1.2415838333
0,0.0,0.588,1.24035969401
0,0.156,0.588,1.24530840744
0,0.309,0.588,1.24262338172
0,0.454,0.588,1.24731366382
0,0.588,0.588,1.24529588058
0,0.707,0.588,1.24438606821
0,0.809,0.588,1.24622529782
0,0.891,0.588,1.2432518996
0,0.951,0.588,1.24663287486
0,0.988,0.588,1.24603867562
0,1.0,0.588,1.24778503647
0,-1.0,0.707,1.23393208132
0,-0.988,0.707,1.23230577659
0,-0.951,0.707,1.23374963491
0,-0.891,0.707,1.2358520387
0,-0.809,0.707,1.23653570363
0,-0.707,0.707,1.23148050626
0,-0.588,0.707,1.23303349732
0,-0.454,0.707,1.23506576552
0,-0.309,0.707,1.23456070125
0,-0.156,0.707,1.23717690771
0,0.0,0.707,1.24024854681
0,0.156,0.707,1.24187140114
0,0.309,0.707,1.24433135225
0,0.454,0.707,1.24304233949
0,0.588,0.707,1.24261006678
0,0.707,0.707,1.24335072482
0,0.809,0.707,1.24460158051
0,0.891,0.707,1.24656153591
0,0.951,0.707,1.24389799499
0,0.988,0.707,1.24772116876
0,1.0,0.707,1.2464531012
0,-1.0,0.809,1.23248507354
0,-0.988,0.809,1.2314709288
0,-0.951,0.809,1.23273417931
0,-0.891,0.809,1.23101140229
0,-0.809,0.809,1.23372080734
0,-0.707,0.809,1.23326513168
0,-0.588,0.809,1.23232853568
0,-0.454,0.809,1.23084721612
0,-0.309,0.809,1.23228919109
0,-0.156,0.809,1.23690562168
0,0.0,0.809,1.23898762571
0,0.156,0.809,1.23916624663
0,0.309,0.809,1.2457257206
0,0.454,0.809,1.24487119092
0,0.588,0.809,1.24723906666
0,0.707,0.809,1.24641232307
0,0.809,0.809,1.24602679651
0,0.891,0.809,1.24755242415
0,0.951,0.809,1.24815241699
0,0.988,0.809,1.24608980135
0,1.0,0.809,1.24779479944
0,-1.0,0.891,1.2266009368
0,-0.988,0.891,1.22780090061
0,-0.951,0.891,1.22786882143
0,-0.891,0.891,1.2311157018
