iteration,params,startmove,response,score
0,18,-1.0,-1.0,1.3360191143089428
0,18,-0.988,-1.0,1.3361417560689461
0,18,-0.951,-1.0,1.3376387566861692
0,18,-0.891,-1.0,1.3381997551597027
0,18,-0.809,-1.0,1.3386329016641654
0,18,-0.707,-1.0,1.3357598271734372
0,18,-0.588,-1.0,1.3377459905419349
0,18,-0.454,-1.0,1.3376557718613582
0,18,-0.309,-1.0,1.3376177287248447
0,18,-0.156,-1.0,1.3382409832828843
0,18,0.0,-1.0,1.3379924718124203
0,18,0.156,-1.0,1.3403867351505139
0,18,0.309,-1.0,1.3401768883467295
0,18,0.454,-1.0,1.342104363465927
0,18,0.588,-1.0,1.3955178297070976
0,18,0.707,-1.0,1.3964390562010862
0,18,0.809,-1.0,1.3382377036212538
0,18,0.891,-1.0,1.3388947771671977
0,18,0.951,-1.0,1.3396995282598219
0,18,0.988,-1.0,1.3409140606148824
0,18,1.0,-1.0,1.3396206411059541
0,18,-1.0,-0.988,1.337299183622122
0,18,-0.988,-0.988,1.3384825017852213
0,18,-0.951,-0.988,1.339153440524331
0,18,-0.891,-0.988,1.338541549393141
0,18,-0.809,-0.988,1.3391064160929622
0,18,-0.707,-0.988,1.3372923627284308
0,18,-0.588,-0.988,1.3387554905848378
0,18,-0.454,-0.988,1.3377723360065366
0,18,-0.309,-0.988,1.339219732705816
0,18,-0.156,-0.988,1.3397733641727732
0,18,0.0,-0.988,1.3383693096333102
0,18,0.156,-0.988,1.342179607816384
0,18,0.309,-0.988,1.3409752623015065
0,18,0.454,-0.988,1.342088200188401
0,18,0.588,-0.988,1.3971182164843734
0,18,0.707,-0.988,1.3980137459627793
0,18,0.809,-0.988,1.3381894725666275
0,18,0.891,-0.988,1.3405412901848806
0,18,0.951,-0.988,1.3408449121241786
0,18,0.988,-0.988,1.3429377174208428
0,18,1.0,-0.988,1.3424828672152942
0,18,-1.0,-0.951,1.3395226561014721
0,18,-0.988,-0.951,1.3388756295762192
0,18,-0.951,-0.951,1.3384646110961804
0,18,-0.891,-0.951,1.340912965073767
0,18,-0.809,-0.951,1.3413458235247553
0,18,-0.707,-0.951,1.339205454563261
0,18,-0.588,-0.951,1.34075281420143
0,18,-0.454,-0.951,1.3402620016193725
0,18,-0.309,-0.951,1.3417410671176677
0,18,-0.156,-0.951,1.3398956269308175
0,18,0.0,-0.951,1.3406534297442454
0,18,0.156,-0.951,1.3425453242510486
0,18,0.309,-0.951,1.342829255024767
0,18,0.454,-0.951,1.3444893975987575
0,18,0.588,-0.951,1.398815224182501
0,18,0.707,-0.951,1.4000241316249962
0,18,0.809,-0.951,1.341640344780576
0,18,0.891,-0.951,1.3417405609357551
0,18,0.951,-0.951,1.3443779109449563
0,18,0.988,-0.951,1.34257186196822
0,18,1.0,-0.951,1.3434030562945052
0,18,-1.0,-0.891,1.3405873976715987
0,18,-0.988,-0.891,1.3409801183795864
0,18,-0.951,-0.891,1.3416325175222716
0,18,-0.891,-0.891,1.3423478403717148
0,18,-0.809,-0.891,1.3421784228202254
0,18,-0.707,-0.891,1.3412021626029615
0,18,-0.588,-0.891,1.3422869990939015
0,18,-0.454,-0.891,1.3420146821664312
0,18,-0.309,-0.891,1.341204184422775
0,18,-0.156,-0.891,1.3414554379127772
0,18,0.0,-0.891,1.3411680636304006
0,18,0.156,-0.891,1.3443658175623094
0,18,0.309,-0.891,1.3447112059815511
0,18,0.454,-0.891,1.3454909831357442
0,18,0.588,-0.891,1.3991913503552156
0,18,0.707,-0.891,1.4006329904915917
0,18,0.809,-0.891,1.3443564482186325
0,18,0.891,-0.891,1.343390715853468
0,18,0.951,-0.891,1.3446441446367685
0,18,0.988,-0.891,1.3460301903792093
0,18,1.0,-0.891,1.3453915359736044
0,18,-1.0,-0.809,1.3429014796233425
0,18,-0.988,-0.809,1.3417062571370224
0,18,-0.951,-0.809,1.3430796648201897
0,18,-0.891,-0.809,1.3431564776830074
0,18,-0.809,-0.809,1.3440115570814952
0,18,-0.707,-0.809,1.3416772822374992
0,18,-0.588,-0.809,1.3445559327646788
0,18,-0.454,-0.809,1.342135943790683
0,18,-0.309,-0.809,1.344657788365964
0,18,-0.156,-0.809,1.343234015490961
0,18,0.0,-0.809,1.3431643264561175
0,18,0.156,-0.809,1.344700668937507
0,18,0.309,-0.809,1.3456681374206374
0,18,0.454,-0.809,1.3478394152045825
0,18,0.588,-0.809,1.4011701048552312
0,18,0.707,-0.809,1.4022223965052278
0,18,0.809,-0.809,1.3438644755185818
0,18,0.891,-0.809,1.3451314406389598
0,18,0.951,-0.809,1.3463320849545903
0,18,0.988,-0.809,1.3458050713700274
0,18,1.0,-0.809,1.3467551626182441
0,18,-1.0,-0.707,1.342515683756703
0,18,-0.988,-0.707,1.3429599098248817
0,18,-0.951,-0.707,1.3434975928395492
0,18,-0.891,-0.707,1.3449320661635855
0,18,-0.809,-0.707,1.3450588738679448
0,18,-0.707,-0.707,1.3437969383571748
0,18,-0.588,-0.707,1.3450804605856945
0,18,-0.454,-0.707,1.343735688499673
0,18,-0.309,-0.707,1.3454605727549172
0,18,-0.156,-0.707,1.3439029931439261
0,18,0.0,-0.707,1.3443337294834126
0,18,0.156,-0.707,1.3465899802736505
0,18,0.309,-0.707,1.3470560723508849
0,18,0.454,-0.707,1.3496563829366055
0,18,0.588,-0.707,1.4033232412434342
0,18,0.707,-0.707,1.404159585540352
0,18,0.809,-0.707,1.3462649683176053
0,18,0.891,-0.707,1.3471842272457915
0,18,0.951,-0.707,1.3485346007763643
0,18,0.988,-0.707,1.3487566699566844
0,18,1.0,-0.707,1.3478219647131136
0,18,-1.0,-0.588,1.3449488115187185
0,18,-0.988,-0.588,1.3443589804647642
0,18,-0.951,-0.588,1.345122054909193
0,18,-0.891,-0.588,1.3455837645549749
0,18,-0.809,-0.588,1.346666392921116
0,18,-0.707,-0.588,1.344723704839214
0,18,-0.588,-0.588,1.3458509623635004
0,18,-0.454,-0.588,1.345123352660982
0,18,-0.309,-0.588,1.3460678032241993
0,18,-0.156,-0.588,1.3455806208876977
0,18,0.0,-0.588,1.3451270652451712
0,18,0.156,-0.588,1.3471169422466067
0,18,0.309,-0.588,1.3483216294748528
0,18,0.454,-0.588,1.3495357909056165
0,18,0.588,-0.588,1.403602026648803
0,18,0.707,-0.588,1.404179397095521
0,18,0.809,-0.588,1.3465762862626667
0,18,0.891,-0.588,1.3482577589254354
0,18,0.951,-0.588,1.3484805507106699
0,18,0.988,-0.588,1.3479311206401985
0,18,1.0,-0.588,1.3482511421710168
0,18,-1.0,-0.454,1.344351811193384
0,18,-0.988,-0.454,1.3445994063052211
0,18,-0.951,-0.454,1.346423393976574
0,18,-0.891,-0.454,1.345681184713516
0,18,-0.809,-0.454,1.3463000204576405
0,18,-0.707,-0.454,1.3453524956532286
0,18,-0.588,-0.454,1.3476709316174682
0,18,-0.454,-0.454,1.3454682116300622
0,18,-0.309,-0.454,1.347130813058987
0,18,-0.156,-0.454,1.3463251617202878
0,18,0.0,-0.454,1.3459058219560935
0,18,0.156,-0.454,1.3477578682858578
0,18,0.309,-0.454,1.3491966961464208
0,18,0.454,-0.454,1.3498384172723206
0,18,0.588,-0.454,1.4026232823379994
0,18,0.707,-0.454,1.4046925624112123
0,18,0.809,-0.454,1.3477931323790704
0,18,0.891,-0.454,1.3486472530080422
0,18,0.951,-0.454,1.350115193292457
0,18,0.988,-0.454,1.3497809369571134
0,18,1.0,-0.454,1.3495167938475947
0,18,-1.0,-0.309,1.3449604131663406
0,18,-0.988,-0.309,1.346447371245486
0,18,-0.951,-0.309,1.3454073112582379
0,18,-0.891,-0.309,1.346514925968848
0,18,-0.809,-0.309,1.3477439247799503
0,18,-0.707,-0.309,1.3460881171633523
0,18,-0.588,-0.309,1.3472498424070694
0,18,-0.454,-0.309,1.3466076328354868
0,18,-0.309,-0.309,1.3481921419026346
0,18,-0.156,-0.309,1.3464737849498871
0,18,0.0,-0.309,1.347022977492567
0,18,0.156,-0.309,1.3489464538155036
0,18,0.309,-0.309,1.347782341352061
0,18,0.454,-0.309,1.3516453504387018
0,18,0.588,-0.309,1.4047075049591515
0,18,0.707,-0.309,1.406194405090195
0,18,0.809,-0.309,1.3475885843746693
0,18,0.891,-0.309,1.3497111388538743
0,18,0.951,-0.309,1.3502436498159158
0,18,0.988,-0.309,1.3500477740092063
0,18,1.0,-0.309,1.3502354205234612
0,18,-1.0,-0.156,1.3466051112277564
0,18,-0.988,-0.156,1.3458296675290509
0,18,-0.951,-0.156,1.3469381575403736
0,18,-0.891,-0.156,1.346695655618238
0,18,-0.809,-0.156,1.3480652118849752
0,18,-0.707,-0.156,1.3464750922865776
0,18,-0.588,-0.156,1.3480478367514053
0,18,-0.454,-0.156,1.3465683998655655
0,18,-0.309,-0.156,1.348435691549216
0,18,-0.156,-0.156,1.3482315466856623
0,18,0.0,-0.156,1.3478767687467184
0,18,0.156,-0.156,1.3496644568686977
0,18,0.309,-0.156,1.3489547780329878
0,18,0.454,-0.156,1.3504846334827456
0,18,0.588,-0.156,1.4046755516247798
0,18,0.707,-0.156,1.4063846480419357
0,18,0.809,-0.156,1.3477782320382403
0,18,0.891,-0.156,1.348873951149175
0,18,0.951,-0.156,1.349951950731607
0,18,0.988,-0.156,1.350378338390098
0,18,1.0,-0.156,1.3493894873070205
0,18,-1.0,0.0,1.3449655516403336
0,18,-0.988,0.0,1.3458344815366354
0,18,-0.951,0.0,1.3476176369399653
0,18,-0.891,0.0,1.346895273720233
0,18,-0.809,0.0,1.3494950564772807
0,18,-0.707,0.0,1.346171986146345
0,18,-0.588,0.0,1.3477729669940646
0,18,-0.454,0.0,1.3468060512391804
0,18,-0.309,0.0,1.3489414027492672
0,18,-0.156,0.0,1.3473064363459448
0,18,0.0,0.0,1.3482679845062393
0,18,0.156,0.0,1.3486943493024122
0,18,0.309,0.0,1.3500754429875927
0,18,0.454,0.0,1.3500469516693454
0,18,0.588,0.0,1.405325299555448
0,18,0.707,0.0,1.4081242357199146
0,18,0.809,0.0,1.3482685095796172
0,18,0.891,0.0,1.349071159068001
0,18,0.951,0.0,1.350405592988445
0,18,0.988,0.0,1.350506377002764
0,18,1.0,0.0,1.3515940226284788
0,18,-1.0,0.156,1.3464394308080319
0,18,-0.988,0.156,1.3468077294324394
0,18,-0.951,0.156,1.3458652093554295
0,18,-0.891,0.156,1.3476780269035555
0,18,-0.809,0.156,1.3476296257859568
0,18,-0.707,0.156,1.3471737863596058
0,18,-0.588,0.156,1.3479086990241915
0,18,-0.454,0.156,1.3466835499779217
0,18,-0.309,0.156,1.3488928414651196
0,18,-0.156,0.156,1.3438719241439743
0,18,0.0,0.156,1.3449324439748611
0,18,0.156,0.156,1.3482846137200253
0,18,0.309,0.156,1.3501377408705475
0,18,0.454,0.156,1.3519021367876605
0,18,0.588,0.156,1.4056109403381263
0,18,0.707,0.156,1.4062067971290841
0,18,0.809,0.156,1.349113236619368
0,18,0.891,0.156,1.3497497175558408
0,18,0.951,0.156,1.3501466700084748
0,18,0.988,0.156,1.3510487690949275
0,18,1.0,0.156,1.3502571562559311
0,18,-1.0,0.309,1.3442287237506436
0,18,-0.988,0.309,1.3463827977220035
0,18,-0.951,0.309,1.3463483313247189
0,18,-0.891,0.309,1.34633608910329
0,18,-0.809,0.309,1.3485814426134917
0,18,-0.707,0.309,1.3457922365279287
0,18,-0.588,0.309,1.3476793091367372
0,18,-0.454,0.309,1.3396448983443545
0,18,-0.309,0.309,1.3410961652614017
0,18,-0.156,0.309,1.342731661262634
0,18,0.0,0.309,1.3457667601671122
0,18,0.156,0.309,1.3463947789860442
0,18,0.309,0.309,1.3478752937177376
0,18,0.454,0.309,1.3504943946457475
0,18,0.588,0.309,1.3935925924886965
0,18,0.707,0.309,1.391752774456462
0,18,0.809,0.309,1.3481923046497024
0,18,0.891,0.309,1.3490528413446896
0,18,0.951,0.309,1.3498731956475318
0,18,0.988,0.309,1.350462033837244
0,18,1.0,0.309,1.3494483829986976
0,18,-1.0,0.454,1.345219015439115
0,18,-0.988,0.454,1.3439285699358123
0,18,-0.951,0.454,1.3461787664364682
0,18,-0.891,0.454,1.3456244971526865
0,18,-0.809,0.454,1.3471592263397705
0,18,-0.707,0.454,1.3369512534695676
0,18,-0.588,0.454,1.3379875100866727
0,18,-0.454,0.454,1.33892218176562
0,18,-0.309,0.454,1.3401255672519385
0,18,-0.156,0.454,1.3424466010913776
0,18,0.0,0.454,1.3421942743326871
0,18,0.156,0.454,1.3454467845044593
0,18,0.309,0.454,1.3469290417926318
0,18,0.454,0.454,1.347817888024407
0,18,0.588,0.454,1.3385437364168056
0,18,0.707,0.454,1.3385511095057334
0,18,0.809,0.454,1.3480500297603137
0,18,0.891,0.454,1.3488472114269945
0,18,0.951,0.454,1.348696503942852
0,18,0.988,0.454,1.3486619029954066
0,18,1.0,0.454,1.3500999575949464
0,18,-1.0,0.588,1.3446178260356663
0,18,-0.988,0.588,1.3438719802158832
0,18,-0.951,0.588,1.3443127578085317
0,18,-0.891,0.588,1.3443675682440819
0,18,-0.809,0.588,1.3458415706848461
0,18,-0.707,0.588,1.335710589941631
0,18,-0.588,0.588,1.3367429406996392
0,18,-0.454,0.588,1.3390967892561778
0,18,-0.309,0.588,1.3398989526524263
0,18,-0.156,0.588,1.3410062337019326
0,18,0.0,0.588,1.3395568140810135
0,18,0.156,0.588,1.3418685196264661
0,18,0.309,0.588,1.3439263308114322
0,18,0.454,0.588,1.3444922331699996
0,18,0.588,0.588,1.3481252760717437
0,18,0.707,0.588,1.3485978298808803
0,18,0.809,0.588,1.3466910380842725
0,18,0.891,0.588,1.34771108834135
0,18,0.951,0.588,1.348982347741354
0,18,0.988,0.588,1.348715550736329
0,18,1.0,0.588,1.348988198925098
0,18,-1.0,0.707,1.3332181099755422
0,18,-0.988,0.707,1.334048127061023
0,18,-0.951,0.707,1.3346309686849471
0,18,-0.891,0.707,1.3345873091273026
0,18,-0.809,0.707,1.3355094375369014
0,18,-0.707,0.707,1.3340580459327358
0,18,-0.588,0.707,1.334849822354733
0,18,-0.454,0.707,1.3370072724523732
0,18,-0.309,0.707,1.3371035351429597
0,18,-0.156,0.707,1.3320552428121986
0,18,0.0,0.707,1.337942742626496
0,18,0.156,0.707,1.3382609175580087
0,18,0.309,0.707,1.3401355398984802
0,18,0.454,0.707,1.3416941127858113
0,18,0.588,0.707,1.3475030978728162
0,18,0.707,0.707,1.349316221429508
0,18,0.809,0.707,1.3473108756867072
0,18,0.891,0.707,1.349168423624659
0,18,0.951,0.707,1.3485912504128081
0,18,0.988,0.707,1.348901392733228
0,18,1.0,0.707,1.348737878635576
0,18,-1.0,0.809,1.3307718625806086
0,18,-0.988,0.809,1.3314882211362604
0,18,-0.951,0.809,1.3310259845692358
0,18,-0.891,0.809,1.3314785498537152
0,18,-0.809,0.809,1.3326491456547078
0,18,-0.707,0.809,1.3331789887680918
0,18,-0.588,0.809,1.3347925927785744
0,18,-0.454,0.809,1.328171846045774
0,18,-0.309,0.809,1.3308789565630013
0,18,-0.156,0.809,1.3298646389363582
0,18,0.0,0.809,1.3339987892426282
0,18,0.156,0.809,1.3374366990192204
0,18,0.309,0.809,1.335794214403122
0,18,0.454,0.809,1.3354468570973212
0,18,0.588,0.809,1.3458687744899764
0,18,0.707,0.809,1.3469615914743265
0,18,0.809,0.809,1.3480838584085524
0,18,0.891,0.809,1.347564815104506
0,18,0.951,0.809,1.3491156946152154
0,18,0.988,0.809,1.3504977929921864
0,18,1.0,0.809,1.3498254423731615
0,18,-1.0,0.891,1.3297864180078107
0,18,-0.988,0.891,1.3298952897636156
0,18,-0.951,0.891,1.330028326889722
0,18,-0.891,0.891,1.3294606226020504
0,18,-0.809,0.891,1.3313638541835926
0,18,-0.707,0.891,1.3309055498407494
0,18,-0.588,0.891,1.3338473025121822
0,18,-0.454,0.891,1.3222478493414151
0,18,-0.309,0.891,1.323910233452536
0,18,-0.156,0.891,1.3280155999141146
0,18,0.0,0.891,1.3317961667059246
0,18,0.156,0.891,1.3338207533540416
0,18,0.309,0.891,1.3278154970758935
0,18,0.454,0.891,1.3279218427857087
0,18,0.588,0.891,1.343646164694831
0,18,0.707,0.891,1.345152230002855
0,18,0.809,0.891,1.3472598318171038
0,18,0.891,0.891,1.3476077270008526
0,18,0.951,0.891,1.348475641163621
0,18,0.988,0.891,1.3485571668192033
0,18,1.0,0.891,1.3499913926321494
0,18,-1.0,0.951,1.3277366264992145
0,18,-0.988,0.951,1.3287874030886457
0,18,-0.951,0.951,1.3286362954572266
0,18,-0.891,0.951,1.3292291498690876
0,18,-0.809,0.951,1.3291648535475056
0,18,-0.707,0.951,1.3287690350083077
0,18,-0.588,0.951,1.3316428024742348
0,18,-0.454,0.951,1.3194793018350048
0,18,-0.309,0.951,1.321965860020957
0,18,-0.156,0.951,1.3270183160814628
0,18,0.0,0.951,1.3279183552535525
0,18,0.156,0.951,1.3296473474138581
0,18,0.309,0.951,1.3236969797175684
0,18,0.454,0.951,1.3226943486386853
0,18,0.588,0.951,1.3431437847744792
0,18,0.707,0.951,1.3436396370323351
0,18,0.809,0.951,1.3477754738065513
0,18,0.891,0.951,1.3472290563677496
0,18,0.951,0.951,1.3477326914482797
0,18,0.988,0.951,1.349035490145981
0,18,1.0,0.951,1.3490007014889018
0,18,-1.0,0.988,1.3267956945549522
0,18,-0.988,0.988,1.3258993384831275
0,18,-0.951,0.988,1.3259350146925444
0,18,-0.891,0.988,1.326719985665673
0,18,-0.809,0.988,1.3289413356421298
0,18,-0.707,0.988,1.325844755140811
0,18,-0.588,0.988,1.3261320888982155
0,18,-0.454,0.988,1.318830222449092
0,18,-0.309,0.988,1.3201242777124491
0,18,-0.156,0.988,1.325584849699001
0,18,0.0,0.988,1.3257095146260551
0,18,0.156,0.988,1.328226090022451
0,18,0.309,0.988,1.3158848061664998
0,18,0.454,0.988,1.3158589450747256
0,18,0.588,0.988,1.3420888791324148
0,18,0.707,0.988,1.3422251557605005
0,18,0.809,0.988,1.3457709452436422
0,18,0.891,0.988,1.3469037925775404
0,18,0.951,0.988,1.3474922859011205
0,18,0.988,0.988,1.3471952231768054
0,18,1.0,0.988,1.3478351321255415
0,18,-1.0,1.0,1.3246686969010397
0,18,-0.988,1.0,1.325436187164214
0,18,-0.951,1.0,1.3257617564158617
0,18,-0.891,1.0,1.3252629965819998
0,18,-0.809,1.0,1.3270503243429235
0,18,-0.707,1.0,1.3223945556690284
0,18,-0.588,1.0,1.32393651516675
0,18,-0.454,1.0,1.3175398051236185
0,18,-0.309,1.0,1.3175778810929972
0,18,-0.156,1.0,1.323043097905019
0,18,0.0,1.0,1.323564392447331
0,18,0.156,1.0,1.325262709698353
0,18,0.309,1.0,1.3129127133575604
0,18,0.454,1.0,1.3155493098397804
0,18,0.588,1.0,1.339847764024125
0,18,0.707,1.0,1.3409949079052135
0,18,0.809,1.0,1.345933373832922
0,18,0.891,1.0,1.3461803228037905
0,18,0.951,1.0,1.3464945826230732
0,18,0.988,1.0,1.3471670069955182
0,18,1.0,1.0,1.3471501727736686
1,18,-1.0,-1.0,0.9981471478450488
1,18,-0.995184726672,-1.0,1.0390822850875707
1,18,-0.980785280403,-1.0,1.011608179357737
1,18,-0.956940335732,-1.0,1.0724184886412926
1,18,-0.923879532511,-1.0,1.0427690413549842
1,18,-0.881921264348,-1.0,1.044258666785683
1,18,-0.831469612303,-1.0,1.0767133975907255
1,18,-0.773010453363,-1.0,1.0250562816174567
1,18,-0.707106781187,-1.0,1.0412766445254389
1,18,-0.634393284164,-1.0,1.00117827394936
1,18,-0.55557023302,-1.0,1.0523941684752187
1,18,-0.471396736826,-1.0,1.0797032746098616
1,18,-0.382683432365,-1.0,1.0494836508950238
1,18,-0.290284677254,-1.0,1.0755774007227727
1,18,-0.195090322016,-1.0,1.01280614434917
1,18,-0.0980171403296,-1.0,0.972913064264112
1,18,0.0,-1.0,0.9780286442266375
1,18,0.0980171403296,-1.0,0.9571065239596621
1,18,0.195090322016,-1.0,0.9440977255329774
