iteration,params,startmove,response,score
0,9,-1.0,-1.0,1.3185513341524338
0,9,-0.988,-1.0,1.3201569252236591
0,9,-0.951,-1.0,1.321352173041506
0,9,-0.891,-1.0,1.3194492801509132
0,9,-0.809,-1.0,1.3223173173331868
0,9,-0.707,-1.0,1.3253888701461014
0,9,-0.588,-1.0,1.3268158451492553
0,9,-0.454,-1.0,1.3277753547527937
0,9,-0.309,-1.0,1.330365271487854
0,9,-0.156,-1.0,1.3273469779715221
0,9,0.0,-1.0,1.3274625548336303
0,9,0.156,-1.0,1.3281562508253841
0,9,0.309,-1.0,1.3503854773291997
0,9,0.454,-1.0,1.3530850202623137
0,9,0.588,-1.0,1.2995741716574711
0,9,0.707,-1.0,1.2968615582873375
0,9,0.809,-1.0,1.3182785693418364
0,9,0.891,-1.0,1.317551848157239
0,9,0.951,-1.0,1.3202380952293251
0,9,0.988,-1.0,1.3206627360958225
0,9,1.0,-1.0,1.3208561771211216
0,9,-1.0,-0.988,1.3224954460260734
0,9,-0.988,-0.988,1.3197880950213825
0,9,-0.951,-0.988,1.3240109812861136
0,9,-0.891,-0.988,1.3242249276911098
0,9,-0.809,-0.988,1.3232837977773095
0,9,-0.707,-0.988,1.3254714590522538
0,9,-0.588,-0.988,1.327039827954745
0,9,-0.454,-0.988,1.3284167073789395
0,9,-0.309,-0.988,1.3300856098255474
0,9,-0.156,-0.988,1.3285746550981028
0,9,0.0,-0.988,1.3295390864175087
0,9,0.156,-0.988,1.3304265251476717
0,9,0.309,-0.988,1.3564963958039675
0,9,0.454,-0.988,1.352520817795137
0,9,0.588,-0.988,1.2997468455588388
0,9,0.707,-0.988,1.2997079862347838
0,9,0.809,-0.988,1.3209337017735714
0,9,0.891,-0.988,1.3191491780198015
0,9,0.951,-0.988,1.3228588581015495
0,9,0.988,-0.988,1.3215641662431121
0,9,1.0,-0.988,1.3230447205535358
0,9,-1.0,-0.951,1.3218976186624736
0,9,-0.988,-0.951,1.3223562192846714
0,9,-0.951,-0.951,1.3250870600632456
0,9,-0.891,-0.951,1.324128023294635
0,9,-0.809,-0.951,1.3247975085076762
0,9,-0.707,-0.951,1.3285045928173622
0,9,-0.588,-0.951,1.3292161564682599
0,9,-0.454,-0.951,1.3301627944120153
0,9,-0.309,-0.951,1.3333226214784388
0,9,-0.156,-0.951,1.331450459702181
0,9,0.0,-0.951,1.332606643103166
0,9,0.156,-0.951,1.3337768207215386
0,9,0.309,-0.951,1.3489845375303309
0,9,0.454,-0.951,1.3502106786238708
0,9,0.588,-0.951,1.3008939527012564
0,9,0.707,-0.951,1.3025189232629915
0,9,0.809,-0.951,1.3234933926820474
0,9,0.891,-0.951,1.3230423429455058
0,9,0.951,-0.951,1.3238547438190744
0,9,0.988,-0.951,1.3217396447879899
0,9,1.0,-0.951,1.3234566566277777
0,9,-1.0,-0.891,1.3240626800581357
0,9,-0.988,-0.891,1.3231860303271097
0,9,-0.951,-0.891,1.3239443944042617
0,9,-0.891,-0.891,1.325036302073587
0,9,-0.809,-0.891,1.3242410739201014
0,9,-0.707,-0.891,1.327647253728628
0,9,-0.588,-0.891,1.3271193410625821
0,9,-0.454,-0.891,1.3306219196314388
0,9,-0.309,-0.891,1.3334721617677574
0,9,-0.156,-0.891,1.3339530842585687
0,9,0.0,-0.891,1.3346468534483937
0,9,0.156,-0.891,1.334840095310189
0,9,0.309,-0.891,1.3533308699977382
0,9,0.454,-0.891,1.354661003591659
0,9,0.588,-0.891,1.3036294857392428
0,9,0.707,-0.891,1.3017049400553136
0,9,0.809,-0.891,1.3228700745429074
0,9,0.891,-0.891,1.3227933048748934
0,9,0.951,-0.891,1.3207681700844265
0,9,0.988,-0.891,1.3250864497688197
0,9,1.0,-0.891,1.3249135722649366
0,9,-1.0,-0.809,1.3235187146397482
0,9,-0.988,-0.809,1.3242353534854856
0,9,-0.951,-0.809,1.3245744626681812
0,9,-0.891,-0.809,1.3268666732016163
0,9,-0.809,-0.809,1.3270365070322538
0,9,-0.707,-0.809,1.329649111246603
0,9,-0.588,-0.809,1.3299014481389726
