iteration,params,startmove,response,score
0,22,-1.0,-1.0,1.3192815148107389
0,22,-0.988,-1.0,1.3197439542756613
0,22,-0.951,-1.0,1.3197889195614747
0,22,-0.891,-1.0,1.3209600338208198
0,22,-0.809,-1.0,1.321715267198881
0,22,-0.707,-1.0,1.3239951506777499
0,22,-0.588,-1.0,1.3247079131636985
0,22,-0.454,-1.0,1.3278256686682497
0,22,-0.309,-1.0,1.32911574728652
0,22,-0.156,-1.0,1.3281565191411624
0,22,0.0,-1.0,1.3284221303746362
0,22,0.156,-1.0,1.3307522493665238
0,22,0.309,-1.0,1.3509089402811432
0,22,0.454,-1.0,1.3528509826113835
0,22,0.588,-1.0,1.2982587047794463
0,22,0.707,-1.0,1.2998440179929331
0,22,0.809,-1.0,1.3183236982403914
0,22,0.891,-1.0,1.3194215505196007
0,22,0.951,-1.0,1.31956336652524
0,22,0.988,-1.0,1.3197524795280016
0,22,1.0,-1.0,1.319673162934011
0,22,-1.0,-0.988,1.3211576800890215
0,22,-0.988,-0.988,1.3207871276862926
0,22,-0.951,-0.988,1.3212430997282314
0,22,-0.891,-0.988,1.3222347729813553
0,22,-0.809,-0.988,1.3226596595389335
0,22,-0.707,-0.988,1.3249076795023127
0,22,-0.588,-0.988,1.3264457151530713
0,22,-0.454,-0.988,1.3286410791162746
0,22,-0.309,-0.988,1.3310151434914863
0,22,-0.156,-0.988,1.3295601878606724
0,22,0.0,-0.988,1.3298443993442834
0,22,0.156,-0.988,1.332051254125617
0,22,0.309,-0.988,1.352335516955495
0,22,0.454,-0.988,1.3534811525293309
0,22,0.588,-0.988,1.3000026650984327
0,22,0.707,-0.988,1.3012172298295912
0,22,0.809,-0.988,1.3196715881134358
0,22,0.891,-0.988,1.3195850379082872
0,22,0.951,-0.988,1.3202779703854801
0,22,0.988,-0.988,1.3218900374347575
0,22,1.0,-0.988,1.3214956351121208
0,22,-1.0,-0.951,1.3229206574939285
0,22,-0.988,-0.951,1.3229133192637346
0,22,-0.951,-0.951,1.3233726016749199
0,22,-0.891,-0.951,1.324859120321984
0,22,-0.809,-0.951,1.3248976607439444
0,22,-0.707,-0.951,1.327403270746159
0,22,-0.588,-0.951,1.3270051752713388
0,22,-0.454,-0.951,1.3305943012468036
0,22,-0.309,-0.951,1.3330168808573983
0,22,-0.156,-0.951,1.3318784001094288
0,22,0.0,-0.951,1.3322964050809492
0,22,0.156,-0.951,1.333587399709943
0,22,0.309,-0.951,1.3542651415399811
0,22,0.454,-0.951,1.3553821466042324
0,22,0.588,-0.951,1.3013865410283094
0,22,0.707,-0.951,1.3033560342595303
