iteration,params,startmove,response,score
0,11,-1.0,-1.0,1.3194149117420508
0,11,-0.988,-1.0,1.319086418635571
0,11,-0.951,-1.0,1.3205743306690756
0,11,-0.891,-1.0,1.320490748919457
0,11,-0.809,-1.0,1.3213766359433927
0,11,-0.707,-1.0,1.3232265267813483
0,11,-0.588,-1.0,1.3246363321070838
0,11,-0.454,-1.0,1.3272292864952795
0,11,-0.309,-1.0,1.3294508829263385
0,11,-0.156,-1.0,1.3290563790308116
0,11,0.0,-1.0,1.3291157762447006
0,11,0.156,-1.0,1.3305994045899043
0,11,0.309,-1.0,1.3508614302357878
0,11,0.454,-1.0,1.3523452193453411
0,11,0.588,-1.0,1.299310371936893
0,11,0.707,-1.0,1.299770565778912
0,11,0.809,-1.0,1.3179077126322636
0,11,0.891,-1.0,1.318672216377568
0,11,0.951,-1.0,1.3193963026694246
0,11,0.988,-1.0,1.319015869184297
0,11,1.0,-1.0,1.320111981930164
0,11,-1.0,-0.988,1.3211228394649461
0,11,-0.988,-0.988,1.3214108438808028
0,11,-0.951,-0.988,1.3214794476603273
0,11,-0.891,-0.988,1.3224444880185362
0,11,-0.809,-0.988,1.3223424857961243
0,11,-0.707,-0.988,1.3252779577678921
0,11,-0.588,-0.988,1.326048430099965
0,11,-0.454,-0.988,1.329424307920466
0,11,-0.309,-0.988,1.3306008066598138
0,11,-0.156,-0.988,1.3297846015307653
0,11,0.0,-0.988,1.330202519613347
0,11,0.156,-0.988,1.332060785116269
0,11,0.309,-0.988,1.3522078152526524
0,11,0.454,-0.988,1.3535837719702482
0,11,0.588,-0.988,1.2999105148431263
0,11,0.707,-0.988,1.3013133988671566
0,11,0.809,-0.988,1.319395587872608
0,11,0.891,-0.988,1.3207506794530763
0,11,0.951,-0.988,1.3206583143860933
0,11,0.988,-0.988,1.3216961644548804
0,11,1.0,-0.988,1.3220556299238218
0,11,-1.0,-0.951,1.32288793655814
0,11,-0.988,-0.951,1.3229640640506812
0,11,-0.951,-0.951,1.3236319464164907
0,11,-0.891,-0.951,1.3241141300551873
0,11,-0.809,-0.951,1.324659829610264
0,11,-0.707,-0.951,1.3273653081929984
0,11,-0.588,-0.951,1.3282408644101582
0,11,-0.454,-0.951,1.3303648631063052
0,11,-0.309,-0.951,1.3323503294768897
0,11,-0.156,-0.951,1.3318770733769312
0,11,0.0,-0.951,1.3305739097381122
0,11,0.156,-0.951,1.3339260160798088
0,11,0.309,-0.951,1.3532913408934735
0,11,0.454,-0.951,1.3547909814074413
0,11,0.588,-0.951,1.3029222285481474
0,11,0.707,-0.951,1.3029695370905359
0,11,0.809,-0.951,1.3211166688491287
0,11,0.891,-0.951,1.3222362621309236
0,11,0.951,-0.951,1.322569634055859
0,11,0.988,-0.951,1.3229807101578244
0,11,1.0,-0.951,1.3231573187297931
0,11,-1.0,-0.891,1.3242524818067016
0,11,-0.988,-0.891,1.3241807719954983
0,11,-0.951,-0.891,1.3236182758647155
0,11,-0.891,-0.891,1.3255640744166248
0,11,-0.809,-0.891,1.3252485052399485
0,11,-0.707,-0.891,1.3278132605877646
0,11,-0.588,-0.891,1.3295285261706784
0,11,-0.454,-0.891,1.3330732058394243
0,11,-0.309,-0.891,1.3335037581290208
0,11,-0.156,-0.891,1.3327652379729005
0,11,0.0,-0.891,1.333391458786579
0,11,0.156,-0.891,1.334704660076949
0,11,0.309,-0.891,1.3553453464239724
0,11,0.454,-0.891,1.3553049242659698
0,11,0.588,-0.891,1.3032892754316752
0,11,0.707,-0.891,1.3047161573383306
0,11,0.809,-0.891,1.3227985221602814
0,11,0.891,-0.891,1.3236597250973334
0,11,0.951,-0.891,1.3236844128267504
0,11,0.988,-0.891,1.3242853899495015
0,11,1.0,-0.891,1.3248155786673808
0,11,-1.0,-0.809,1.3258230000208213
0,11,-0.988,-0.809,1.3256189078127236
0,11,-0.951,-0.809,1.3260451003694498
0,11,-0.891,-0.809,1.3264497985344175
0,11,-0.809,-0.809,1.3267562678298008
0,11,-0.707,-0.809,1.3293732587302771
