params,startmove,response,score
24,-1.0,-1.0,1.284519044117048
24,-0.988,-1.0,1.2848384647974882
24,-0.951,-1.0,1.2844470894838205
24,-0.891,-1.0,1.2849217050414867
24,-0.809,-1.0,1.2860882201347714
24,-0.707,-1.0,1.2918239595090655
24,-0.588,-1.0,1.292172457552963
24,-0.454,-1.0,1.297737807397678
24,-0.309,-1.0,1.2989572481916465
24,-0.156,-1.0,1.2952652331582235
24,0.0,-1.0,1.291887025012403
24,0.156,-1.0,1.293446767936961
24,0.309,-1.0,1.269380781646853
24,0.454,-1.0,1.2707581498141916
24,0.588,-1.0,1.2392542088726994
24,0.707,-1.0,1.2398353702131784
24,0.809,-1.0,1.2642861102458036
24,0.891,-1.0,1.265406361676101
24,0.951,-1.0,1.2670913873507157
24,0.988,-1.0,1.2669293892849935
24,1.0,-1.0,1.2673571281672447
24,-1.0,-0.988,1.2865481403556982
24,-0.988,-0.988,1.2861382516877062
24,-0.951,-0.988,1.2866151263580983
24,-0.891,-0.988,1.2871375432527805
24,-0.809,-0.988,1.2874821756994612
24,-0.707,-0.988,1.292829229260177
24,-0.588,-0.988,1.2944948126499571
24,-0.454,-0.988,1.2993282639296324
24,-0.309,-0.988,1.3006799255471178
24,-0.156,-0.988,1.2972269369931666
24,0.0,-0.988,1.2934400803544503
24,0.156,-0.988,1.295034160372687
24,0.309,-0.988,1.2709665959514012
24,0.454,-0.988,1.2742523385223299
24,0.588,-0.988,1.240967325401279
24,0.707,-0.988,1.239554938966518
24,0.809,-0.988,1.2671019489578355
24,0.891,-0.988,1.268436857059858
24,0.951,-0.988,1.268574082121776
24,0.988,-0.988,1.268474926208186
24,1.0,-0.988,1.2686605932637152
24,-1.0,-0.951,1.2873177267545757
24,-0.988,-0.951,1.2877217726556502
24,-0.951,-0.951,1.2886622976396835
24,-0.891,-0.951,1.2882467467930565
24,-0.809,-0.951,1.2884964913858843
24,-0.707,-0.951,1.294107247957904
24,-0.588,-0.951,1.2953209818041673
24,-0.454,-0.951,1.300042516104748
24,-0.309,-0.951,1.30122015766519
24,-0.156,-0.951,1.2979910660273155
24,0.0,-0.951,1.2951796092706593
24,0.156,-0.951,1.296119639073442
24,0.309,-0.951,1.2727298408344772
24,0.454,-0.951,1.2735374841246534
24,0.588,-0.951,1.2411997681865072
24,0.707,-0.951,1.2429197163291636
24,0.809,-0.951,1.2681793488844912
24,0.891,-0.951,1.2694020011430684
24,0.951,-0.951,1.2696983704146507
24,0.988,-0.951,1.270367755253577
24,1.0,-0.951,1.270192769632396
24,-1.0,-0.891,1.288396107696652
24,-0.988,-0.891,1.2883064980614456
24,-0.951,-0.891,1.2898189534283953
24,-0.891,-0.891,1.2903076259724355
24,-0.809,-0.891,1.2905070991903806
24,-0.707,-0.891,1.2951558976224211
24,-0.588,-0.891,1.2961831397829113
24,-0.454,-0.891,1.2998220633363102
24,-0.309,-0.891,1.3020960283564644
24,-0.156,-0.891,1.299196000539919
24,0.0,-0.891,1.2952192973411616
24,0.156,-0.891,1.2969725248610504
24,0.309,-0.891,1.2743597427478865
24,0.454,-0.891,1.2755724386903173
24,0.588,-0.891,1.24390751477336
24,0.707,-0.891,1.2445613619873845
24,0.809,-0.891,1.2696606674040376
24,0.891,-0.891,1.2707386212534069
24,0.951,-0.891,1.2719835237685801
24,0.988,-0.891,1.2711771980911124
24,1.0,-0.891,1.2722151197064187
24,-1.0,-0.809,1.2900321461100734
24,-0.988,-0.809,1.2905718912507864
24,-0.951,-0.809,1.2907760397428059
24,-0.891,-0.809,1.290545836816732
24,-0.809,-0.809,1.2917530204476286
24,-0.707,-0.809,1.2954958228794893
24,-0.588,-0.809,1.2970029184084635
24,-0.454,-0.809,1.2997622134371156
24,-0.309,-0.809,1.3021593218486078
24,-0.156,-0.809,1.2989213596572082
24,0.0,-0.809,1.2956401368069859
24,0.156,-0.809,1.297400597898662
24,0.309,-0.809,1.2760179220024026
24,0.454,-0.809,1.2776823019351042
24,0.588,-0.809,1.246351180945566
24,0.707,-0.809,1.246575980911772
24,0.809,-0.809,1.2706126904493866
24,0.891,-0.809,1.2717432588991504
24,0.951,-0.809,1.2725313394263145
24,0.988,-0.809,1.2726216517115176
24,1.0,-0.809,1.2729227037005832
24,-1.0,-0.707,1.2916452449125964
24,-0.988,-0.707,1.2905404861981205
24,-0.951,-0.707,1.2911911344182476
24,-0.891,-0.707,1.2921726571565344
24,-0.809,-0.707,1.292531547160328
24,-0.707,-0.707,1.2950769011976535
24,-0.588,-0.707,1.2961953805181947
24,-0.454,-0.707,1.2992827249496588
24,-0.309,-0.707,1.30100542822438
24,-0.156,-0.707,1.2978605520305868
24,0.0,-0.707,1.2957313598506803
24,0.156,-0.707,1.2973397795253094
24,0.309,-0.707,1.2772296794921654
24,0.454,-0.707,1.2781193465347649
24,0.588,-0.707,1.2475773267484023
24,0.707,-0.707,1.249161170760331
24,0.809,-0.707,1.272787661831576
24,0.891,-0.707,1.2733456092311237
24,0.951,-0.707,1.2738908093862715
24,0.988,-0.707,1.2747481040438249
24,1.0,-0.707,1.274718660268433
24,-1.0,-0.588,1.2912167309831122
24,-0.988,-0.588,1.2919710865470113
24,-0.951,-0.588,1.2917944511107258
24,-0.891,-0.588,1.2919503761740905
24,-0.809,-0.588,1.2929651130143605
24,-0.707,-0.588,1.294598298295341
24,-0.588,-0.588,1.2957548086543804
24,-0.454,-0.588,1.2988446632305348
24,-0.309,-0.588,1.300329286055195
24,-0.156,-0.588,1.29720767281084
24,0.0,-0.588,1.2955061752793262
24,0.156,-0.588,1.2967580304055508
24,0.309,-0.588,1.2778556220185784
24,0.454,-0.588,1.2797659910560832
24,0.588,-0.588,1.2507193720102026
24,0.707,-0.588,1.2523647729414293
24,0.809,-0.588,1.2739715377456877
24,0.891,-0.588,1.2748092380918912
24,0.951,-0.588,1.2750098725139551
24,0.988,-0.588,1.275981519774608
24,1.0,-0.588,1.2763996549597179
24,-1.0,-0.454,1.2903709788811033
24,-0.988,-0.454,1.2899802413551162
24,-0.951,-0.454,1.29072124036773
24,-0.891,-0.454,1.2915769036255929
24,-0.809,-0.454,1.2925480210977849
24,-0.707,-0.454,1.2932475011096083
24,-0.588,-0.454,1.2954374593683058
24,-0.454,-0.454,1.2963995844922476
24,-0.309,-0.454,1.2975741015220656
24,-0.156,-0.454,1.29626900016178
24,0.0,-0.454,1.294934896417515
