iteration,params,startmove,response,score
0,10,-1.0,-1.0,1.319803881514278
0,10,-0.988,-1.0,1.3202048841448606
0,10,-0.951,-1.0,1.3195915648332894
0,10,-0.891,-1.0,1.3203402331365843
0,10,-0.809,-1.0,1.321436710752847
0,10,-0.707,-1.0,1.324217621072297
0,10,-0.588,-1.0,1.3248599810988622
0,10,-0.454,-1.0,1.3273281817083638
0,10,-0.309,-1.0,1.329923158992025
0,10,-0.156,-1.0,1.3283784801798961
0,10,0.0,-1.0,1.3281628028936507
0,10,0.156,-1.0,1.3298413505017874
0,10,0.309,-1.0,1.3501081557047916
0,10,0.454,-1.0,1.3530306519168942
0,10,0.588,-1.0,1.2987308555880126
0,10,0.707,-1.0,1.2987110968290556
0,10,0.809,-1.0,1.3183102088978382
0,10,0.891,-1.0,1.3193638753640602
0,10,0.951,-1.0,1.319219837272938
0,10,0.988,-1.0,1.3193185890982653
0,10,1.0,-1.0,1.3205702934225183
0,10,-1.0,-0.988,1.3217633229754875
0,10,-0.988,-0.988,1.3217159718764981
0,10,-0.951,-0.988,1.3217634223993624
0,10,-0.891,-0.988,1.3220984866178436
0,10,-0.809,-0.988,1.3231287535107108
0,10,-0.707,-0.988,1.3253812175940731
0,10,-0.588,-0.988,1.326151871808722
0,10,-0.454,-0.988,1.3294756167417972
0,10,-0.309,-0.988,1.3311200146254538
0,10,-0.156,-0.988,1.3302349229650985
0,10,0.0,-0.988,1.3300855815258599
0,10,0.156,-0.988,1.332408925811287
0,10,0.309,-0.988,1.3536556329306086
0,10,0.454,-0.988,1.3545166364224073
0,10,0.588,-0.988,1.3002018847383439
0,10,0.707,-0.988,1.301430707669679
0,10,0.809,-0.988,1.3193088369424064
0,10,0.891,-0.988,1.319535438299964
0,10,0.951,-0.988,1.3208917023178417
0,10,0.988,-0.988,1.3216541283788457
0,10,1.0,-0.988,1.3224134128161986
0,10,-1.0,-0.951,1.3226786095955154
0,10,-0.988,-0.951,1.3221702769301595
0,10,-0.951,-0.951,1.3228335868487096
0,10,-0.891,-0.951,1.324585168029865
0,10,-0.809,-0.951,1.3246820080962396
0,10,-0.707,-0.951,1.3269074895605022
0,10,-0.588,-0.951,1.328150011270533
0,10,-0.454,-0.951,1.3306046473379833
0,10,-0.309,-0.951,1.3323151382097436
0,10,-0.156,-0.951,1.3312820073743188
0,10,0.0,-0.951,1.3316329408628054
0,10,0.156,-0.951,1.3333101453228318
0,10,0.309,-0.951,1.3542948044441598
0,10,0.454,-0.951,1.3569468878037096
0,10,0.588,-0.951,1.3028124105144407
0,10,0.707,-0.951,1.3031259882176107
0,10,0.809,-0.951,1.3210923957882497
0,10,0.891,-0.951,1.3219612065395752
0,10,0.951,-0.951,1.322477233048137
0,10,0.988,-0.951,1.322923783733983
0,10,1.0,-0.951,1.3227678782486965
0,10,-1.0,-0.891,1.3239476273621695
0,10,-0.988,-0.891,1.3241073947908302
0,10,-0.951,-0.891,1.3244301778591006
0,10,-0.891,-0.891,1.3249042158076465
0,10,-0.809,-0.891,1.326120083508478
0,10,-0.707,-0.891,1.3282691594166087
0,10,-0.588,-0.891,1.3291720237884468
0,10,-0.454,-0.891,1.332013520937185
0,10,-0.309,-0.891,1.3340868846164584
0,10,-0.156,-0.891,1.332791796663247
