iteration,params,startmove,response,score
0,26,-1.0,-1.0,1.2321586302123877
0,26,-0.988,-1.0,1.2321710920813338
0,26,-0.951,-1.0,1.232274403204794
0,26,-0.891,-1.0,1.232649555937416
0,26,-0.809,-1.0,1.2349477434064169
0,26,-0.707,-1.0,1.2291697035740583
0,26,-0.588,-1.0,1.2297524308978602
0,26,-0.454,-1.0,1.2318934727844677
0,26,-0.309,-1.0,1.2305700837303193
0,26,-0.156,-1.0,1.2261112910852392
0,26,0.0,-1.0,1.2163993662579697
0,26,0.156,-1.0,1.2197307658666945
0,26,0.309,-1.0,1.2049406560611748
0,26,0.454,-1.0,1.2068445124914569
0,26,0.588,-1.0,1.1889307678866678
0,26,0.707,-1.0,1.191625757818196
0,26,0.809,-1.0,1.1837280906047898
0,26,0.891,-1.0,1.1856618925617606
0,26,0.951,-1.0,1.1836058322498126
0,26,0.988,-1.0,1.186865395146798
0,26,1.0,-1.0,1.1875197682859373
0,26,-1.0,-0.988,1.2334195634329805
0,26,-0.988,-0.988,1.2330799426672898
0,26,-0.951,-0.988,1.234065670265139
0,26,-0.891,-0.988,1.235433095501094
0,26,-0.809,-0.988,1.2367279132002842
0,26,-0.707,-0.988,1.2312208031490142
0,26,-0.588,-0.988,1.2327662854713561
0,26,-0.454,-0.988,1.2293899282681506
0,26,-0.309,-0.988,1.2348834544879927
0,26,-0.156,-0.988,1.2261975630797222
0,26,0.0,-0.988,1.219376647193327
0,26,0.156,-0.988,1.218257950913467
0,26,0.309,-0.988,1.2062976533565966
0,26,0.454,-0.988,1.2096957533406805
0,26,0.588,-0.988,1.1913307614124078
0,26,0.707,-0.988,1.1936475032999183
0,26,0.809,-0.988,1.1863077185628053
0,26,0.891,-0.988,1.1868560598075275
0,26,0.951,-0.988,1.1863869982399329
0,26,0.988,-0.988,1.1880602082832652
0,26,1.0,-0.988,1.187311367627221
0,26,-1.0,-0.951,1.2345499991490747
0,26,-0.988,-0.951,1.232901135892726
0,26,-0.951,-0.951,1.2352548084313575
0,26,-0.891,-0.951,1.235014400826351
0,26,-0.809,-0.951,1.235251396971726
0,26,-0.707,-0.951,1.2321599747919476
0,26,-0.588,-0.951,1.2319186228520862
0,26,-0.454,-0.951,1.231446078277905
0,26,-0.309,-0.951,1.2315546083648214
0,26,-0.156,-0.951,1.229305655080315
0,26,0.0,-0.951,1.2173257844731769
0,26,0.156,-0.951,1.2200472644987812
