repetitions,iteration,discountfactor,startmove,response,threshhold,zero,negone,gpucbscore,simplescore
1000,-1,0.99,-0.707,-0.309,0.707,0,0,1.2361102725946453,1.2242801932534693
1000,-1,0.99,-0.707,-0.156,0.707,0,0,1.305725226754706,1.2849453781254538
1000,-1,0.99,-0.707,0.0,0.707,0,0,1.2653538459049969,1.276497924937877
1000,-1,0.99,-0.707,0.156,0.707,0,0,1.319111340203105,1.3122607015828978
1000,-1,0.99,-0.707,0.309,0.707,0,0,1.333409848817186,1.3136785230809245
1000,-1,0.99,-0.707,0.454,0.707,0,0,1.2930067728356367,1.2812033710827873
1000,-1,0.99,-0.707,0.588,0.707,0,0,1.2434172270427517,1.1892992026131917
1000,-1,0.99,-0.707,0.707,0.707,0,0,1.3132404243461053,1.275323328977395
1000,-1,0.99,-0.707,0.809,0.707,0,0,1.2152952206862218,1.1615155893873266
1000,-1,0.99,-0.707,0.891,0.707,0,0,1.2834353784066603,1.2531063458641916
1000,-1,0.99,-0.707,0.951,0.707,0,0,1.250434493675918,1.20414882045617
1000,-1,0.99,-0.707,0.988,0.707,0,0,1.2634949472305357,1.213149830016837
1000,-1,0.99,-0.707,1.0,0.707,0,0,1.2451625838867282,1.2070104856979877
1000,-1,0.99,-0.588,-1.0,0.707,0,0,1.1937845339816844,1.20764082410472
1000,-1,0.99,-0.588,-0.988,0.707,0,0,1.2577510482257777,1.2916977540930745
1000,-1,0.99,-0.588,-0.951,0.707,0,0,1.2068813102434652,1.2165239203795435
1000,-1,0.99,-0.588,-0.891,0.707,0,0,1.2422287307924824,1.2890780991692743
1000,-1,0.99,-0.588,-0.809,0.707,0,0,1.2290858047237374,1.2765920046898014
1000,-1,0.99,-0.588,-0.707,0.707,0,0,1.1741029194464931,1.2238070670525771
1000,-1,0.99,-0.588,-0.588,0.707,0,0,1.204509792071962,1.2145203752765692
1000,-1,0.99,-0.588,-0.454,0.707,0,0,1.249918696020715,1.2803781888116454
1000,-1,0.99,-0.588,-0.309,0.707,0,0,1.2540311229031909,1.2581007717010748
1000,-1,0.99,-0.588,-0.156,0.707,0,0,1.2742751494634528,1.3005144629931424
1000,-1,0.99,-0.588,0.0,0.707,0,0,1.2866501277288727,1.3231228069761172
1000,-1,0.99,-0.588,0.156,0.707,0,0,1.3107033805913466,1.2953564485768525
1000,-1,0.99,-0.588,0.309,0.707,0,0,1.2817782724983484,1.3079292967833223
1000,-1,0.99,-0.588,0.454,0.707,0,0,1.28006731851738,1.25694985049761
1000,-1,0.99,-0.588,0.588,0.707,0,0,1.2574343013035467,1.2561610154221863
1000,-1,0.99,-0.588,0.707,0.707,0,0,1.2531611212225144,1.2231256408704851
1000,-1,0.99,-0.588,0.809,0.707,0,0,1.2939731898861913,1.2560783983230395
1000,-1,0.99,-0.588,0.891,0.707,0,0,1.2753726329395023,1.2358694265723844
1000,-1,0.99,-0.588,0.951,0.707,0,0,1.248862398874601,1.2058574483691424
1000,-1,0.99,-0.588,0.988,0.707,0,0,1.2404489431918213,1.1860511401441445
1000,-1,0.99,-0.588,1.0,0.707,0,0,1.2421179406155658,1.1958880773871403
1000,-1,0.99,-0.454,-1.0,0.707,0,0,1.2124113472777027,1.2390879751621142
1000,-1,0.99,-0.454,-0.988,0.707,0,0,1.2854426842964748,1.2939341179696056
1000,-1,0.99,-0.454,-0.951,0.707,0,0,1.1862357574171183,1.2295434962939316
1000,-1,0.99,-0.454,-0.891,0.707,0,0,1.2222457961319821,1.1997297591962923
1000,-1,0.99,-0.454,-0.809,0.707,0,0,1.2373653655108021,1.237705495110183
1000,-1,0.99,-0.454,-0.707,0.707,0,0,1.2256018284195327,1.2854372555406404
1000,-1,0.99,-0.454,-0.588,0.707,0,0,1.2487702638965577,1.279890534958032
1000,-1,0.99,-0.454,-0.454,0.707,0,0,1.2810588446834437,1.2742459188666673
1000,-1,0.99,-0.454,-0.309,0.707,0,0,1.2104260192547407,1.2080480256610642
1000,-1,0.99,-0.454,-0.156,0.707,0,0,1.28724222569408,1.2992647883881496
1000,-1,0.99,-0.454,0.0,0.707,0,0,1.2941038118105084,1.3304939356493162
1000,-1,0.99,-0.454,0.156,0.707,0,0,1.2788901161460597,1.2985562387882268
1000,-1,0.99,-0.454,0.309,0.707,0,0,1.3126607238544794,1.2930017263506848
1000,-1,0.99,-0.454,0.454,0.707,0,0,1.2987172856359355,1.2678652150283507
1000,-1,0.99,-0.454,0.588,0.707,0,0,1.2593621394241254,1.2229180373930844
1000,-1,0.99,-0.454,0.707,0.707,0,0,1.2802260146385276,1.2627263260617734
1000,-1,0.99,-0.454,0.809,0.707,0,0,1.276400531679107,1.253963859534675
1000,-1,0.99,-0.454,0.891,0.707,0,0,1.2957190974095234,1.266747864612875
1000,-1,0.99,-0.454,0.951,0.707,0,0,1.2700983464905613,1.2440238576216287
1000,-1,0.99,-0.454,0.988,0.707,0,0,1.2534354102710552,1.2118710918716313
1000,-1,0.99,-0.454,1.0,0.707,0,0,1.1776404368683016,1.135966317144449
1000,-1,0.99,-0.309,-1.0,0.707,0,0,1.2215731752187595,1.2619622222537201
1000,-1,0.99,-0.309,-0.988,0.707,0,0,1.2067393386329712,1.2374475535931733
1000,-1,0.99,-0.309,-0.951,0.707,0,0,1.27283922073069,1.257590349712269
1000,-1,0.99,-0.309,-0.891,0.707,0,0,1.1867127782138187,1.2298703159182214
1000,-1,0.99,-0.309,-0.809,0.707,0,0,1.2555619997755905,1.254031313524535
1000,-1,0.99,-0.309,-0.707,0.707,0,0,1.2714181588827491,1.2201124193551043
1000,-1,0.99,-0.309,-0.588,0.707,0,0,1.2001075736154696,1.2158377848250013
1000,-1,0.99,-0.309,-0.454,0.707,0,0,1.269297894741146,1.2933617338938272
1000,-1,0.99,-0.309,-0.309,0.707,0,0,1.2498996290363829,1.2681513793013683
1000,-1,0.99,-0.309,-0.156,0.707,0,0,1.2918840288014262,1.3060367866221818
1000,-1,0.99,-0.309,0.0,0.707,0,0,1.269534455797247,1.2663596861579278
1000,-1,0.99,-0.309,0.156,0.707,0,0,1.3241993386346902,1.304468360362187
1000,-1,0.99,-0.309,0.309,0.707,0,0,1.3000401498670453,1.273902183239737
1000,-1,0.99,-0.309,0.454,0.707,0,0,1.2787170088453284,1.2825516505667895
1000,-1,0.99,-0.309,0.588,0.707,0,0,1.2607061740776169,1.257049116835353
1000,-1,0.99,-0.309,0.707,0.707,0,0,1.2816678062424418,1.271164605195223
1000,-1,0.99,-0.309,0.809,0.707,0,0,1.2307226753253742,1.1890661548774952
1000,-1,0.99,-0.309,0.891,0.707,0,0,1.2272470499144985,1.159476317710001
1000,-1,0.99,-0.309,0.951,0.707,0,0,1.2639110711625772,1.2279679679450888
1000,-1,0.99,-0.309,0.988,0.707,0,0,1.1787783503445501,1.119009426339434
1000,-1,0.99,-0.309,1.0,0.707,0,0,1.2650745886689725,1.2295413505483728
1000,-1,0.99,-0.156,-1.0,0.707,0,0,1.2029731148489364,1.1948724464024187
1000,-1,0.99,-0.156,-0.988,0.707,0,0,1.2066627372097087,1.2472376860716303
1000,-1,0.99,-0.156,-0.951,0.707,0,0,1.2298899498426639,1.2129934884026696
1000,-1,0.99,-0.156,-0.891,0.707,0,0,1.2002011849169176,1.2065568075293924
1000,-1,0.99,-0.156,-0.809,0.707,0,0,1.1849417624743102,1.224607395634902
1000,-1,0.99,-0.156,-0.707,0.707,0,0,1.1841284605096878,1.1878765448082975
1000,-1,0.99,-0.156,-0.588,0.707,0,0,1.184287270204488,1.1871823279502476
1000,-1,0.99,-0.156,-0.454,0.707,0,0,1.2055380227722459,1.2258874066837795
1000,-1,0.99,-0.156,-0.309,0.707,0,0,1.2472729370182014,1.2642076171993133
1000,-1,0.99,-0.156,-0.156,0.707,0,0,1.26464456056147,1.274020739899351
1000,-1,0.99,-0.156,0.0,0.707,0,0,1.306317932643356,1.27906506259578
1000,-1,0.99,-0.156,0.156,0.707,0,0,1.304998634860284,1.316899408990217
1000,-1,0.99,-0.156,0.309,0.707,0,0,1.3003712630430329,1.3178119864633986
1000,-1,0.99,-0.156,0.454,0.707,0,0,1.3022524465634264,1.2994114188599617
1000,-1,0.99,-0.156,0.588,0.707,0,0,1.2637906432021355,1.241009596097237
1000,-1,0.99,-0.156,0.707,0.707,0,0,1.2326370987245625,1.2172187465331095
1000,-1,0.99,-0.156,0.809,0.707,0,0,1.2930276183894882,1.2888205495027625
1000,-1,0.99,-0.156,0.891,0.707,0,0,1.252013398872837,1.2473008591744659
1000,-1,0.99,-0.156,0.951,0.707,0,0,1.257791964089388,1.2266810949970959
1000,-1,0.99,-0.156,0.988,0.707,0,0,1.254442312196269,1.2367944193701637
1000,-1,0.99,-0.156,1.0,0.707,0,0,1.2616128516901155,1.2419152831506997
1000,-1,0.99,0.0,-1.0,0.707,0,0,1.0702342946942747,1.061586445091633
1000,-1,0.99,0.0,-0.988,0.707,0,0,1.19468918312145,1.137924497678106
1000,-1,0.99,0.0,-0.951,0.707,0,0,1.2342193464954454,1.2179591158387648
1000,-1,0.99,0.0,-0.891,0.707,0,0,1.066301137673053,1.0612976233784084
1000,-1,0.99,0.0,-0.809,0.707,0,0,1.2961827846349225,1.3143091981034563
1000,-1,0.99,0.0,-0.707,0.707,0,0,1.1616664844645945,1.1893272033642248
1000,-1,0.99,0.0,-0.588,0.707,0,0,1.1733028647288186,1.1509212729131073
1000,-1,0.99,0.0,-0.454,0.707,0,0,1.2196524857516373,1.256030908264186
1000,-1,0.99,0.0,-0.309,0.707,0,0,1.2501853188145489,1.2383283208677667
1000,-1,0.99,0.0,-0.156,0.707,0,0,1.2638440713722587,1.2613507519926401
1000,-1,0.99,0.0,0.0,0.707,0,0,1.258779821247958,1.2617610206618939
1000,-1,0.99,0.0,0.156,0.707,0,0,1.300144445744257,1.3040301443181905
1000,-1,0.99,0.0,0.309,0.707,0,0,1.2946619710580647,1.2769762858759384
1000,-1,0.99,0.0,0.454,0.707,0,0,1.0883317520808478,1.0957135285576436
1000,-1,0.99,0.0,0.588,0.707,0,0,1.323502355669028,1.3229662193418392
1000,-1,0.99,0.0,0.707,0.707,0,0,1.302457092415021,1.3296536036073199
1000,-1,0.99,0.0,0.809,0.707,0,0,1.267642195450717,1.3037477940007947
1000,-1,0.99,0.0,0.891,0.707,0,0,1.2106472772968668,1.2110210752961612
1000,-1,0.99,0.0,0.951,0.707,0,0,1.3026035823078015,1.2899346280498856
1000,-1,0.99,0.0,0.988,0.707,0,0,1.2822826850492115,1.3120311299804612
1000,-1,0.99,0.0,1.0,0.707,0,0,1.2482482017937808,1.2300174844871283
1000,-1,0.99,0.156,-1.0,0.707,0,0,1.1491654637421143,1.1698789477423206
1000,-1,0.99,0.156,-0.988,0.707,0,0,1.1894648271465047,1.1544096001703774
1000,-1,0.99,0.156,-0.951,0.707,0,0,1.1571240796781537,1.1265366133414907
1000,-1,0.99,0.156,-0.891,0.707,0,0,1.1332551520107759,1.1379075702814176
1000,-1,0.99,0.156,-0.809,0.707,0,0,1.1894325368939251,1.1761337583598552
1000,-1,0.99,0.156,-0.707,0.707,0,0,1.1814661956349035,1.19867027445372
1000,-1,0.99,0.156,-0.588,0.707,0,0,1.1502195906717607,1.1473886506833668
1000,-1,0.99,0.156,-0.454,0.707,0,0,1.194538573228918,1.1871417280383094
1000,-1,0.99,0.156,-0.309,0.707,0,0,1.1654377819780724,1.1432049055215392
1000,-1,0.99,0.156,-0.156,0.707,0,0,1.1474015443801022,1.107279573791783
1000,-1,0.99,0.156,0.0,0.707,0,0,1.327649070680199,1.3290982722024745
1000,-1,0.99,0.156,0.156,0.707,0,0,1.3085048195842062,1.3116692803593744
1000,-1,0.99,0.156,0.309,0.707,0,0,1.3045632478696045,1.3050974463226077
1000,-1,0.99,0.156,0.454,0.707,0,0,1.3115865207959974,1.3029391508910135
1000,-1,0.99,0.156,0.588,0.707,0,0,1.2925937363939617,1.2834308839288784
1000,-1,0.99,0.156,0.707,0.707,0,0,1.2924699111706426,1.3039816481991222
1000,-1,0.99,0.156,0.809,0.707,0,0,1.3085819425724243,1.326582917311556
1000,-1,0.99,0.156,0.891,0.707,0,0,1.2911878476925631,1.3186882924693866
1000,-1,0.99,0.156,0.951,0.707,0,0,1.275972610001042,1.2911613574562035
1000,-1,0.99,0.156,0.988,0.707,0,0,1.343346917061633,1.3357700203392282
1000,-1,0.99,0.156,1.0,0.707,0,0,1.2919850507427377,1.2940226020032313
1000,-1,0.99,0.309,-1.0,0.707,0,0,1.1543965605133744,1.1351920801541167
1000,-1,0.99,0.309,-0.988,0.707,0,0,1.1752344008674465,1.1305715339996303
1000,-1,0.99,0.309,-0.951,0.707,0,0,1.154484430285013,1.1214989979851007
1000,-1,0.99,0.309,-0.891,0.707,0,0,1.141367945678571,1.1354068958722916
1000,-1,0.99,0.309,-0.809,0.707,0,0,1.1261622870856458,1.163708188869367
1000,-1,0.99,0.309,-0.707,0.707,0,0,1.1799950264674635,1.141083692076609
1000,-1,0.99,0.309,-0.588,0.707,0,0,1.1177500390053257,1.0943629543462006
1000,-1,0.99,0.309,-0.454,0.707,0,0,1.171744278160108,1.1492575813420924
1000,-1,0.99,0.309,-0.309,0.707,0,0,1.2045450778373819,1.2056135094799456
1000,-1,0.99,0.309,-0.156,0.707,0,0,1.109035162623661,1.094383087515278
1000,-1,0.99,0.309,0.0,0.707,0,0,1.1848891948257796,1.2148821917688466
1000,-1,0.99,0.309,0.156,0.707,0,0,1.2424410798655956,1.256894507537839
1000,-1,0.99,0.309,0.309,0.707,0,0,1.298480603540568,1.320219575134603
1000,-1,0.99,0.309,0.454,0.707,0,0,1.3049698452790142,1.30683215341939
1000,-1,0.99,0.309,0.588,0.707,0,0,1.3200214789710816,1.3064363243557222
1000,-1,0.99,0.309,0.707,0.707,0,0,1.2942869920421873,1.3044555698145726
1000,-1,0.99,0.309,0.809,0.707,0,0,1.2884306257323648,1.3262793520939096
1000,-1,0.99,0.309,0.891,0.707,0,0,1.2783986652541144,1.2931802900147746
1000,-1,0.99,0.309,0.951,0.707,0,0,1.3044231373714863,1.3012326816978228
1000,-1,0.99,0.309,0.988,0.707,0,0,1.2954772993360082,1.3024350054177865
1000,-1,0.99,0.309,1.0,0.707,0,0,1.292646673940464,1.3105558180942904
1000,-1,0.99,0.454,-1.0,0.707,0,0,1.1428105171121834,1.2151725094064771
1000,-1,0.99,0.454,-0.988,0.707,0,0,1.1240945356225345,1.140473275971216
1000,-1,0.99,0.454,-0.951,0.707,0,0,1.1450007017581083,1.1325207184724921
1000,-1,0.99,0.454,-0.891,0.707,0,0,1.1069792606510622,1.098610567995483
1000,-1,0.99,0.454,-0.809,0.707,0,0,1.156945030553463,1.1064637711276686
1000,-1,0.99,0.454,-0.707,0.707,0,0,1.082158163509358,1.0978194147271325
1000,-1,0.99,0.454,-0.588,0.707,0,0,1.1818990271294487,1.166224764844901
1000,-1,0.99,0.454,-0.454,0.707,0,0,1.1075914547580374,1.172014073555472
1000,-1,0.99,0.454,-0.309,0.707,0,0,1.1773270163953127,1.179421020184087
1000,-1,0.99,0.454,-0.156,0.707,0,0,1.1352857468442883,1.1574347253384514
1000,-1,0.99,0.454,0.0,0.707,0,0,1.200774433603027,1.197605412785379
1000,-1,0.99,0.454,0.156,0.707,0,0,1.196602794170946,1.214253807196828
1000,-1,0.99,0.454,0.309,0.707,0,0,1.2341787663208337,1.2663123835081338
1000,-1,0.99,0.454,0.454,0.707,0,0,1.3113530451569604,1.3030420135924103
1000,-1,0.99,0.454,0.588,0.707,0,0,1.3335197246391879,1.3311565349120078
1000,-1,0.99,0.454,0.707,0.707,0,0,1.3186265508516355,1.3299407207317067
1000,-1,0.99,0.454,0.809,0.707,0,0,1.3120592027360027,1.3385506598965438
1000,-1,0.99,0.454,0.891,0.707,0,0,1.3163911684032115,1.3482872559330716
1000,-1,0.99,0.454,0.951,0.707,0,0,1.3191837118477396,1.319550922598936
1000,-1,0.99,0.454,0.988,0.707,0,0,1.3150087325341633,1.3114868603971916
1000,-1,0.99,0.454,1.0,0.707,0,0,1.2988545145257855,1.322767649183302
1000,-1,0.99,0.588,-1.0,0.707,0,0,1.0936550282465012,1.1316640504998214
1000,-1,0.99,0.588,-0.988,0.707,0,0,1.0874109583633509,1.138234940625918
1000,-1,0.99,0.588,-0.951,0.707,0,0,1.1124009815483786,1.1611737777084257
1000,-1,0.99,0.588,-0.891,0.707,0,0,1.1695941903582545,1.213502321287837
1000,-1,0.99,0.588,-0.809,0.707,0,0,1.0984398335149765,1.146708280342533
1000,-1,0.99,0.588,-0.707,0.707,0,0,1.0872755658054964,1.0594885071429132
1000,-1,0.99,0.588,-0.588,0.707,0,0,1.140218767393657,1.1702170422634663
1000,-1,0.99,0.588,-0.454,0.707,0,0,1.1566296972520473,1.1523477830161457
1000,-1,0.99,0.588,-0.309,0.707,0,0,1.1671322523627439,1.2149885941594205
1000,-1,0.99,0.588,-0.156,0.707,0,0,1.140573030986098,1.2097336331171575
1000,-1,0.99,0.588,0.0,0.707,0,0,1.1566731300483284,1.159251991274596
1000,-1,0.99,0.588,0.156,0.707,0,0,1.2170561672444906,1.2435963587497927
1000,-1,0.99,0.588,0.309,0.707,0,0,1.1881504109553978,1.2376368177783472
1000,-1,0.99,0.588,0.454,0.707,0,0,1.2419505664542507,1.259804252711469
1000,-1,0.99,0.588,0.588,0.707,0,0,1.3075529519708544,1.326803511346838
1000,-1,0.99,0.588,0.707,0.707,0,0,1.338668563439643,1.3322824013513095
